Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,Clinical_Feasibility,Detection_Method,Sample_Type,N_Tissues,Tissues_List,Direction_Consistency,Predominant_Direction,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Max_Abs_Zscore_Delta,Std_Zscore_Delta,Signal_to_Noise,Age_Discrimination,P_Value,Biomarker_Score
Plg,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,6,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Native_Tissue",0.5,DOWN,0.0269603969584699,0.05951248559850067,0.02050969277418655,0.1103477180432894,0.06902723756628674,0.862159456132819,0.05951248559850067,0.3826497812603812,0.330661894713737
Serpind1,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,5,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Native_Tissue",0.8,UP,0.04040199901645752,0.0803923703236668,0.0498677100067492,0.1514332242203516,0.0941441703329551,0.8539282893390747,0.0803923703236668,0.3915937364045373,0.39289948190809637
Ces1c,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",0.75,UP,0.1731362991918946,0.2381080701519859,0.2639945910076999,0.2944995566723613,0.20406986144409367,1.166796843331112,0.2381080701519859,0.18829559329055445,0.26688665119374244
Serpina1b,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,8,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Cortex",0.75,UP,0.12588946910237642,0.18025680709355318,0.08790375446761041,0.5218425935969497,0.21974268397525765,0.8203085710641886,0.18025680709355318,0.14917960407438655,0.42212056065659437
Pglyrp2,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_Soleus,1.0,UP,0.3091391916686583,0.3091391916686583,0.3091391916686583,0.3091391916686583,,0.0,0.3091391916686583,,0.24637087875029876
Itgb1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",1.0,DOWN,-0.1603966493446499,0.1603966493446499,-0.14888243541171683,0.3156814249261261,0.12865337859837925,1.2467348397072764,0.1603966493446499,0.08821337795255034,0.31523815960644247
Itih5,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,7,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Cortex, Hippocampus",0.5714285714285714,DOWN,-0.04717050705810827,0.11933885133193853,-0.0807487095171187,0.2684441942359628,0.13799502954231277,0.8648054334112535,0.11933885133193853,0.40064196701243,0.3521223452842621
Car2,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",0.75,DOWN,-0.09024188257118157,0.11228435365667708,-0.10638743005132015,0.192277612353077,0.09838193142116622,1.1413107268243754,0.11228435365667708,0.16392958766430382,0.2504496942820712
Ist1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",0.5,DOWN,-0.022836687680867798,0.03487481246034695,-0.0011632936377299998,0.1115136640155955,0.060202396456868486,0.5792927609672935,0.03487481246034695,0.5032147059055209,0.15490975127849999
Glg1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",1.0,DOWN,-0.1649073872603137,0.1649073872603137,-0.1428381412817946,0.3575390802590066,0.165293192597358,0.99766593329718,0.1649073872603137,0.13995794124084807,0.31074031396496227
Vwa1,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,8,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Cortex",0.75,UP,0.04431949810333537,0.12888629616454295,0.05011162334218655,0.2848492313570923,0.16254345344873802,0.7929344026469225,0.12888629616454295,0.46581513196924906,0.3027514312277566
Nenf,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",0.75,UP,0.060090179704844704,0.08669905726063856,0.05710101789363285,0.1793764381437008,0.09501954538746059,0.9124339303782856,0.08669905726063856,0.2952648543177076,0.23347837315732506
Kng1,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,8,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Cortex",0.75,UP,0.10243967375829935,0.1245814728003071,0.09629224199263406,0.281932915190389,0.13097375450723703,0.9511941783223697,0.1245814728003071,0.06259154390887971,0.42242806652915815
Pgk1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",0.75,DOWN,0.0099705944321026,0.11567706148371915,-0.01525010287170835,0.2512953118316435,0.17915535785154393,0.6456801675983047,0.11567706148371915,0.9184023128669894,0.17551132793585897
Adipoq,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,5,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Native_Tissue",1.0,DOWN,-0.14985949453833314,0.14985949453833314,-0.1222627880788616,0.2879626554985114,0.0850367154382401,1.7622916615020496,0.14985949453833314,0.01695118655674799,0.4007838055250752
Tbc1d15,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,3,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.6666666666666666,DOWN,-0.07195823782992947,0.1742651950245702,-0.1391462060387336,0.2301889432430159,0.20045542849347162,0.8693463496312629,0.1742651950245702,0.5975288654850957,0.19972022603850928
C9orf72,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_Soleus,1.0,UP,0.1310788283752695,0.1310788283752695,0.1310788283752695,0.1310788283752695,,0.0,0.1310788283752695,,0.21966182425629044
Bgn,,Proteoglycans,Core matrisome,0,Mass spectrometry,Blood,8,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Cortex",0.75,UP,0.16354459971465327,0.17012595058682684,0.11403146960919369,0.6201191792507286,0.2142100443432485,0.794201556273516,0.17012595058682684,0.06766374858525419,0.26875251772949865
Hsp90ab1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",1.0,DOWN,-0.1619979678701156,0.1619979678701156,-0.12482702356993844,0.3661388747118109,0.15013211962021367,1.0790360402552015,0.1619979678701156,0.11979297194739012,0.3123203979857783
Pon2,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,3,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.6666666666666666,DOWN,-0.07961975271916313,0.0967927084311994,-0.0954955072270978,0.169123184498446,0.09840649567996274,0.9836008056418177,0.0967927084311994,0.29612209753663254,0.21824002984434998
Pon1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,3,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.6666666666666666,DOWN,0.014787324684155936,0.0529699415322488,-0.0096248150859371,0.1016358993246071,0.0775787853879946,0.6827890030416222,0.0529699415322488,0.772663442152083,0.16401248034796234
Hnrnpm,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",0.75,DOWN,-0.10976388209466809,0.12372589200165168,-0.13763239602031047,0.1917147561520186,0.10472870975483164,1.181394216459767,0.12372589200165168,0.1270293229483456,0.25585595150541324
Hsph1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",1.0,DOWN,-0.25796151537909934,0.25796151537909934,-0.26651662531584996,0.4907596847363821,0.1989089850159099,1.2968821662755259,0.25796151537909934,0.0808103525704431,0.3306131920498206
Fgb,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,8,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Cortex",0.5,DOWN,-0.0477207001371564,0.2262795981734761,-0.0706011965849384,0.6018526887242698,0.30861318410241745,0.7332142948837278,0.2262795981734761,0.6750273234006414,0.2464392073859573
Dhrs13,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_Soleus,1.0,UP,0.0925210427559891,0.0925210427559891,0.0925210427559891,0.0925210427559891,,0.0,0.0925210427559891,,0.21387815641339838
Azgp1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",1.0,UP,0.10161797985405473,0.10161797985405473,0.1108797513640539,0.1222651610935716,0.027200994567008457,3.7358185416243987,0.10161797985405473,0.004964813296884465,0.31474621564841976
Gc,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,4,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",0.5,DOWN,0.1364379744770201,0.1849591530835645,0.03309845237491266,0.5369639194452256,0.2768487077100005,0.6680874713611072,0.1849591530835645,0.3969785404371968,0.188046018918815
Car4,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,3,"Skeletal_muscle_Soleus, Skeletal_muscle_TA, Skeletal_muscle_EDL",0.6666666666666666,UP,0.10265380175612777,0.34355875864162133,0.0918827861228828,0.5774360544737409,0.46948941969651925,0.7317710351464358,0.34355875864162133,0.7413241516455891,0.21073473196501763
Smoc2,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,4,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Decellularized_Tissue",0.75,UP,0.8698545566693375,1.2688761889787077,0.9423688107519046,2.392723869792281,1.3427312493762484,0.9449963941541918,1.2688761889787077,0.2857791948387429,0.49175350886293184
Amy1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,3,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",1.0,UP,0.9653435213889985,0.9653435213889985,1.0957608837599917,1.1434020779526506,0.2682078769685111,3.5992362800826108,0.9653435213889985,0.02477870570794976,0.44232365763755477
Cyr61,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,1,Skeletal_muscle_Gastrocnemius,1.0,UP,1.047172190754127,1.047172190754127,1.047172190754127,1.047172190754127,,0.0,1.047172190754127,,0.43707582861311906
Prss23,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_Gastrocnemius,1.0,UP,0.8889247121519863,0.8889247121519863,0.8889247121519863,0.8889247121519863,,0.0,0.8889247121519863,,0.333338706822798
Fgfbp1,,Secreted Factors,Matrisome-associated,2,ELISA,Blood,1,Skeletal_muscle_Gastrocnemius,1.0,UP,0.6175105973790116,0.6175105973790116,0.6175105973790116,0.6175105973790116,,0.0,0.6175105973790116,,0.45262658960685176
Ctss,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,4,"Skeletal_muscle_Gastrocnemius, Cortex, Hippocampus, Native_Tissue",1.0,UP,0.3057923364662718,0.3057923364662718,0.2092362408191326,0.75642841771919,0.32264778643914627,0.9477589784238191,0.3057923364662718,0.15431197527276416,0.4904376529426644
Sparcl1,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,6,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Cortex, Hippocampus, Native_Tissue",0.8333333333333334,DOWN,-0.17575044823608202,0.1764681600091477,-0.1591729760166229,0.4633973497959718,0.16169343192671792,1.0913749427319095,0.1764681600091477,0.044752668281311137,0.36866162383990775
Cyb5d2,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",1.0,DOWN,-0.3046884096985659,0.3046884096985659,-0.3046884096985659,0.477822233168882,0.24484820125723025,1.2443971739799278,0.3046884096985659,,0.24570326145478488
Sema3c,,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,3,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",1.0,UP,0.5983137241437462,0.5983137241437462,0.5900711247660405,0.6854802141496437,0.08335141851324537,7.178206859774896,0.5983137241437462,0.006407038341448515,0.38910635478741706
Igfbp5,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,5,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Cortex, Hippocampus",0.8,UP,0.18557086252393934,0.1995581833837366,0.1057720470236894,0.4755266127549874,0.21496748707686145,0.9283179800691661,0.1995581833837366,0.12577379335820202,0.35735634817174033
Actg1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.5,DOWN,0.17838986654018077,0.4294239372107017,0.17838986654018077,0.6078138037508825,0.6072971560110267,0.7071067811865476,0.4294239372107017,,0.16441359058160526
Adam9,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,4,"Skeletal_muscle_Gastrocnemius, Cortex, Hippocampus, Native_Tissue",0.75,DOWN,-0.012479782885688726,0.08623740556885312,-0.02062747157350305,0.1561794337620776,0.12463435011403108,0.6919232578334332,0.08623740556885312,0.8540825345304306,0.33752735738228495
Chid1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_Gastrocnemius,1.0,UP,0.228676316212785,0.228676316212785,0.228676316212785,0.228676316212785,,0.0,0.228676316212785,,0.23430144743191778
Pla2g7,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,3,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",1.0,UP,0.4151469795374391,0.4151469795374391,0.4675953316884996,0.57810573562092,0.19455925589085266,2.1337816987249156,0.4151469795374391,0.06604147909675138,0.35566789902094076
Rbp4,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_Gastrocnemius,1.0,UP,0.2406578311431465,0.2406578311431465,0.2406578311431465,0.2406578311431465,,0.0,0.2406578311431465,,0.236098674671472
Smpdl3a,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_Gastrocnemius,1.0,UP,0.162253215535055,0.162253215535055,0.162253215535055,0.162253215535055,,0.0,0.162253215535055,,0.22433798233025826
Cpe,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,3,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",0.6666666666666666,DOWN,-0.08816908806102174,0.1490432465878292,-0.1319271126566187,0.2238913893166577,0.1620933298169595,0.919490313118579,0.1490432465878292,0.44557559817231973,0.21113226050427575
Gpx7,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,3,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL",0.6666666666666666,DOWN,-0.042931573186577365,0.10282783903920777,-0.0141290451811541,0.2045100731575236,0.14927601281477476,0.6888436869411766,0.10282783903920777,0.6677723025712885,0.18198027893208563
Mstn,,Secreted Factors,Matrisome-associated,2,ELISA,Blood,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",1.0,UP,0.06239993507206115,0.06239993507206115,0.06239993507206115,0.0939318293353166,0.04459283251441025,1.3993265633416874,0.06239993507206115,,0.36935999026080923
Galnt2,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.5,DOWN,0.02459672248173095,0.02770860437734925,0.02459672248173095,0.0523053268590802,0.03918588410487782,0.7071067811865476,0.02770860437734925,,0.1041562906566024
Smpdl3b,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_Gastrocnemius,1.0,UP,0.0659032789416067,0.0659032789416067,0.0659032789416067,0.0659032789416067,,0.0,0.0659032789416067,,0.20988549184124103
Cpn1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_Gastrocnemius,1.0,UP,0.2224189731845607,0.2224189731845607,0.2224189731845607,0.2224189731845607,,0.0,0.2224189731845607,,0.2333628459776841
C1qa,,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,3,"Skeletal_muscle_TA, Cortex, Hippocampus",0.6666666666666666,UP,-0.045138229914773544,0.2274684148919631,0.1314295337896903,0.408909967210105,0.3150804498558021,0.7219375718044867,0.2274684148919631,0.8271837096906663,0.18473522459806116
Angptl2,,Secreted Factors,Matrisome-associated,2,ELISA,Blood,3,"Skeletal_muscle_TA, Native_Tissue, Decellularized_Tissue",1.0,UP,0.6957318023387512,0.6957318023387512,0.7002635214870476,0.7107643847209542,0.01773805099063958,39.222561864654175,0.6957318023387512,0.0002166036194692022,0.5643381099888658
Mup11,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,2,"Skeletal_muscle_TA, Skeletal_muscle_EDL",1.0,DOWN,-0.38859775763998017,0.38859775763998017,-0.38859775763998017,0.4016017870375553,0.018390474739549113,21.130382066988858,0.38859775763998017,,0.25828966364599704
Serac1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_TA,1.0,UP,0.5032783038300486,0.5032783038300486,0.5032783038300486,0.5032783038300486,,0.0,0.5032783038300486,,0.2754917455745073
Rbmxl1,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_TA,1.0,UP,0.3015174309437946,0.3015174309437946,0.3015174309437946,0.3015174309437946,,0.0,0.3015174309437946,,0.2452276146415692
Lgmn,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_TA,1.0,DOWN,-0.0706151048637988,0.0706151048637988,-0.0706151048637988,0.0706151048637988,,0.0,0.0706151048637988,,0.21059226572956982
C1qb,,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,4,"Skeletal_muscle_TA, Cortex, Hippocampus, Native_Tissue",0.75,UP,0.04674428610343548,0.10141607369706804,0.08978116063392355,0.1167583983331599,0.10528440199455344,0.9632582963458773,0.10141607369706804,0.4399686805466162,0.2212155429998986
Hmgb2,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_TA,1.0,UP,0.1286950210197333,0.1286950210197333,0.1286950210197333,0.1286950210197333,,0.0,0.1286950210197333,,0.21930425315296
Fgf13,,Secreted Factors,Matrisome-associated,2,ELISA,Blood,4,"Skeletal_muscle_TA, Hippocampus, Native_Tissue, Decellularized_Tissue",0.5,DOWN,-0.02260432288155147,0.10374287323054993,-0.036279044762534546,0.1273301629629457,0.12200781179149324,0.8502969744908022,0.10374287323054993,0.7355975847282352,0.302001672511759
Pla2g12a,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_TA,1.0,DOWN,-0.0253920293261313,0.0253920293261313,-0.0253920293261313,0.0253920293261313,,0.0,0.0253920293261313,,0.2038088043989197
Prdx4,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_EDL,1.0,DOWN,-0.7672755421509808,0.7672755421509808,-0.7672755421509808,0.7672755421509808,,0.0,0.7672755421509808,,0.3150913313226471
Rap2b,,Non-ECM,Non-ECM,0,Mass spectrometry,Blood,1,Skeletal_muscle_EDL,1.0,DOWN,-0.0781232246885975,0.0781232246885975,-0.0781232246885975,0.0781232246885975,,0.0,0.0781232246885975,,0.21171848370328963
Col6a3,,Collagens,Core matrisome,0,Mass spectrometry,Blood,2,"Cortex, Hippocampus",1.0,UP,0.0766019274063943,0.0766019274063943,0.0766019274063943,0.1019666388730771,0.03587111896186317,2.1354763838795936,0.0766019274063943,,0.21149028911095916
Serpina1c,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,3,"Cortex, Hippocampus, Native_Tissue",0.6666666666666666,UP,0.039059848002066966,0.07405183070939216,0.0522796029929918,0.1173879150741969,0.08570604336266173,0.8640211098772203,0.07405183070939216,0.5126150624479826,0.35317960169494395
Matn2,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,4,"Cortex, Hippocampus, Native_Tissue, Decellularized_Tissue",1.0,DOWN,-0.20391200332725978,0.20391200332725978,-0.1175688370140768,0.544099574860125,0.23002211954023896,0.8864886721974076,0.20391200332725978,0.1743437327576512,0.3931524272233239
S100a4,,Secreted Factors,Matrisome-associated,2,ELISA,Blood,2,"Cortex, Hippocampus",1.0,UP,0.1823029651137421,0.1823029651137421,0.1823029651137421,0.1957308145098684,0.018989846729505194,9.600022986520033,0.1823029651137421,,0.38734544476706134
Anxa4,,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,4,"Cortex, Hippocampus, Native_Tissue, Decellularized_Tissue",0.75,UP,0.12362111623360408,0.140668237269473,0.10072277881990224,0.3271331493663497,0.15002972821368185,0.9376024268278643,0.140668237269473,0.19792004054015994,0.25130823153640497
Ncan,,Proteoglycans,Core matrisome,0,Mass spectrometry,Blood,2,"Cortex, Hippocampus",0.5,DOWN,0.0026623138098919013,0.0192261089629278,0.0026623138098919013,0.0218884227728197,0.027189824047035415,0.7071067811865475,0.0192261089629278,,0.10288391634443918
Serpina3k,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,4,"Cortex, Hippocampus, Native_Tissue, Decellularized_Tissue",0.5,DOWN,0.1496121198858074,0.2519269822019444,-0.00363396587672175,0.7406960309919828,0.40251610114474295,0.6258805088429311,0.2519269822019444,0.5111727886225668,0.346671768468035
Slit2,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,2,"Cortex, Hippocampus",1.0,DOWN,-0.1419997368958876,0.1419997368958876,-0.1419997368958876,0.2236244935315958,0.11543483785962183,1.2301289587166993,0.1419997368958876,,0.3012999605343832
Ngly1,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,4,"Cortex, Hippocampus, Native_Tissue, Decellularized_Tissue",0.75,DOWN,-0.05749128767729125,0.0736074459903046,-0.0583643294413914,0.1454688084524089,0.07954988490879172,0.9252992141308506,0.0736074459903046,0.24410272519594334,0.3966308443789514
Anxa7,,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,4,"Cortex, Hippocampus, Native_Tissue, Decellularized_Tissue",1.0,DOWN,-0.10805345681030652,0.10805345681030652,-0.0965450036646733,0.2072118643204487,0.0742101850176127,1.4560461853674347,0.10805345681030652,0.06189148689379366,0.31001886983216664
Nell2,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,2,"Cortex, Hippocampus",1.0,DOWN,-0.05727923704948705,0.05727923704948705,-0.05727923704948705,0.0637563117910068,0.009159966943961437,6.253214383840924,0.05727923704948705,,0.2885918855574231
Sema6d,,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,2,"Cortex, Hippocampus",1.0,DOWN,-0.029013315567062797,0.029013315567062797,-0.029013315567062797,0.04736666049796,0.025955549316186315,1.1178078033960008,0.029013315567062797,,0.20435199733505943
Plxdc2,,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,3,"Cortex, Hippocampus, Native_Tissue",0.6666666666666666,DOWN,-0.06501635199225864,0.0677856013627079,-0.0769107313140029,0.1222921987184469,0.06405668992842758,1.0582126775274643,0.0677856013627079,0.22082346476188208,0.22141882706155133
Hspg2,,Proteoglycans,Core matrisome,0,Mass spectrometry,Blood,4,"Cortex, Hippocampus, Native_Tissue, Decellularized_Tissue",0.75,UP,0.008463746173279378,0.04196612721072552,0.01581820408233065,0.0692233386033485,0.05641856061648788,0.7438354816599353,0.04196612721072552,0.7837396605170303,0.17792095302990585
Plxnb2,,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,4,"Cortex, Hippocampus, Native_Tissue, Decellularized_Tissue",1.0,DOWN,-0.15146350099611972,0.15146350099611972,-0.1490128605503275,0.281653585454962,0.12766293536170126,1.1864328559184814,0.15146350099611972,0.0982490417214519,0.31289462097727283
Ogfod1,,ECM Regulators,Matrisome-associated,2,ELISA,Blood,2,"Cortex, Hippocampus",0.5,DOWN,-0.029694171703550598,0.0394336250944818,-0.029694171703550598,0.0691277967980324,0.05576756742215218,0.7071067811865476,0.0394336250944818,,0.2659150437641723
Grip1,,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,2,"Cortex, Hippocampus",1.0,DOWN,-0.11874254230235955,0.11874254230235955,-0.11874254230235955,0.1352270995975175,0.023312684496528718,5.093473568865071,0.11874254230235955,,0.21781138134535394
Cabp1,,Secreted Factors,Matrisome-associated,2,ELISA,Blood,2,"Cortex, Hippocampus",1.0,DOWN,-0.02659306358620355,0.02659306358620355,-0.02659306358620355,0.0269580700729389,0.0005161971238952861,51.51726415197564,0.02659306358620355,,0.36398895953793053
Vwa5b2,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,2,"Cortex, Hippocampus",1.0,DOWN,-0.0815980907636556,0.0815980907636556,-0.0815980907636556,0.1250370103628733,0.06143190923204812,1.3282688391701016,0.0815980907636556,,0.29223971361454837
Vcan,,Proteoglycans,Core matrisome,0,Mass spectrometry,Blood,4,"Cortex, Hippocampus, Native_Tissue, Decellularized_Tissue",0.75,UP,0.039320736923669095,0.10408863442107996,0.05445511767056165,0.1779085073483748,0.1280328636856732,0.8129837248397609,0.10408863442107996,0.5825053101328732,0.2073627641498747
Slit1,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,2,"Cortex, Hippocampus",1.0,DOWN,-0.13763596956199153,0.13763596956199153,-0.13763596956199153,0.1469401995524951,0.013158168240008615,10.460116260217495,0.13763596956199153,,0.30064539543429875
Nrg3,,Secreted Factors,Matrisome-associated,2,ELISA,Blood,2,"Cortex, Hippocampus",1.0,DOWN,-0.08215260988230086,0.08215260988230086,-0.08215260988230086,0.1385616530694213,0.07977443391571538,1.0298112546821467,0.08215260988230086,,0.3723228914823452
Dsp,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,4,"Cortex, Hippocampus, Native_Tissue, Decellularized_Tissue",1.0,DOWN,-0.0826863000449821,0.0826863000449821,-0.07895958178190936,0.1472904737978935,0.06611397212498295,1.2506630200446973,0.0826863000449821,0.08760418710211856,0.3836425262965355
Igfbp7,,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,3,"Cortex, Hippocampus, Native_Tissue",1.0,DOWN,-0.06548642909616233,0.06548642909616233,-0.0565114773624126,0.1223599225024119,0.05295948595486012,1.2365382313563147,0.06548642909616233,0.1655089294784397,0.37327207141658036
