Protein_ID,Protein_Name,Gene_Symbol
H0YHS2,Rap guanine nucleotide exchange factor 3 (Fragment) OS=Homo sapiens GN=RAPGEF3 PE=1 SV=1,RAPGEF3
Q9Y6B6,GTP-binding protein SAR1b OS=Homo sapiens GN=SAR1B PE=1 SV=1,SAR1B
Q9UNE7,E3 ubiquitin-protein ligase CHIP OS=Homo sapiens GN=STUB1 PE=1 SV=2,STUB1
Q9P2M7,Cingulin OS=Homo sapiens GN=CGN PE=1 SV=2,CGN
H7C4X8,CLIP-associating protein 2 (Fragment) OS=Homo sapiens GN=CLASP2 PE=1 SV=1,CLASP2
P0DJG4,Testicular haploid expressed gene protein-like OS=Homo sapiens GN=THEGL PE=2 SV=1,THEGL
P09669,Cytochrome c oxidase subunit 6C OS=Homo sapiens GN=COX6C PE=1 SV=2,COX6C
Q9UBC0,Hepatocyte nuclear factor 6 OS=Homo sapiens GN=ONECUT1 PE=2 SV=1,ONECUT1
P11172,Uridine 5'-monophosphate synthase OS=Homo sapiens GN=UMPS PE=1 SV=1,UMPS
Q8IYQ7,Threonine synthase-like 1 OS=Homo sapiens GN=THNSL1 PE=1 SV=2,THNSL1
A0A0B4J203,Uncharacterized protein OS=Homo sapiens GN=FIP1L1 PE=1 SV=1,FIP1L1
Q9BRZ2,E3 ubiquitin-protein ligase TRIM56 OS=Homo sapiens GN=TRIM56 PE=1 SV=3,TRIM56
E7EWW0,UPF0505 protein C16orf62 OS=Homo sapiens GN=C16orf62 PE=1 SV=2,C16orf62
H0Y7Z9,Receptor-type tyrosine-protein phosphatase F (Fragment) OS=Homo sapiens GN=PTPRF PE=1 SV=1,PTPRF
Q58FF7,Putative heat shock protein HSP 90-beta-3 OS=Homo sapiens GN=HSP90AB3P PE=5 SV=1,HSP90AB3P
Q9Y3B9,RRP15-like protein OS=Homo sapiens GN=RRP15 PE=1 SV=2,RRP15
Q9BQI0,Allograft inflammatory factor 1-like OS=Homo sapiens GN=AIF1L PE=1 SV=1,AIF1L
F8VZV4,Neuron navigator 3 (Fragment) OS=Homo sapiens GN=NAV3 PE=1 SV=1,NAV3
Q9NSB2,"Keratin, type II cuticular Hb4 OS=Homo sapiens GN=KRT84 PE=2 SV=2",KRT84
P40925,"Malate dehydrogenase, cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4",MDH1
F2Z2E2,Ras GTPase-activating-like protein IQGAP3 OS=Homo sapiens GN=IQGAP3 PE=1 SV=1,IQGAP3
K7EK45,Polypyrimidine tract-binding protein 1 (Fragment) OS=Homo sapiens GN=PTBP1 PE=1 SV=1,PTBP1
Q07065,Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2,CKAP4
E7ESZ7,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Homo sapiens GN=NDUFA10 PE=1 SV=1",NDUFA10
O14975,Very long-chain acyl-CoA synthetase OS=Homo sapiens GN=SLC27A2 PE=1 SV=2,SLC27A2
P61088,Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1,UBE2N
A0A087WV68,TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens GN=TARDBP PE=1 SV=1,TARDBP
A0A087WYG8,Alpha-internexin OS=Homo sapiens GN=INA PE=1 SV=1,INA
Q5T9A4,ATPase family AAA domain-containing protein 3B OS=Homo sapiens GN=ATAD3B PE=1 SV=1,ATAD3B
P30711,Glutathione S-transferase theta-1 OS=Homo sapiens GN=GSTT1 PE=1 SV=4,GSTT1
Q9ULV4,Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1,CORO1C
P23246,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2",SFPQ
P17010,Zinc finger X-chromosomal protein OS=Homo sapiens GN=ZFX PE=2 SV=2,ZFX
Q9BST9,Rhotekin OS=Homo sapiens GN=RTKN PE=1 SV=2,RTKN
O43633,Charged multivesicular body protein 2a OS=Homo sapiens GN=CHMP2A PE=1 SV=1,CHMP2A
M0QYV1,BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens GN=BABAM1 PE=1 SV=1,BABAM1
Q8N465,"D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=D2HGDH PE=1 SV=3",D2HGDH
P09327,Villin-1 OS=Homo sapiens GN=VIL1 PE=1 SV=4,VIL1
A6NMH8,Tetraspanin OS=Homo sapiens GN=CD81 PE=1 SV=1,CD81
H0YD14,Myoferlin (Fragment) OS=Homo sapiens GN=MYOF PE=1 SV=1,MYOF
Q99959,Plakophilin-2 OS=Homo sapiens GN=PKP2 PE=1 SV=2,PKP2
Q9Y4D1,Disheveled-associated activator of morphogenesis 1 OS=Homo sapiens GN=DAAM1 PE=1 SV=2,DAAM1
P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2",HSPD1
A6NHQ4,Uncharacterized protein C17orf96 OS=Homo sapiens GN=C17orf96 PE=1 SV=1,C17orf96
A8MYB8,"Aldehyde dehydrogenase, dimeric NADP-preferring OS=Homo sapiens GN=ALDH3A1 PE=1 SV=1",ALDH3A1
P98174,"FYVE, RhoGEF and PH domain-containing protein 1 OS=Homo sapiens GN=FGD1 PE=1 SV=2",FGD1
P30626,Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1,SRI
P68036,Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens GN=UBE2L3 PE=1 SV=1,UBE2L3
A0A0A6YYI3,Protein PPAN-P2RY11 OS=Homo sapiens GN=PPAN-P2RY11 PE=4 SV=1,PPAN-P2RY11
P60468,Protein transport protein Sec61 subunit beta OS=Homo sapiens GN=SEC61B PE=1 SV=2,SEC61B
Q8WTT2,Nucleolar complex protein 3 homolog OS=Homo sapiens GN=NOC3L PE=1 SV=1,NOC3L
O15355,Protein phosphatase 1G OS=Homo sapiens GN=PPM1G PE=1 SV=1,PPM1G
Q9HA65,TBC1 domain family member 17 OS=Homo sapiens GN=TBC1D17 PE=1 SV=2,TBC1D17
A0A0A0MRF9,Phosphoinositide phospholipase C OS=Homo sapiens GN=PLCG2 PE=1 SV=1,PLCG2
A0A096LNH1,Protocadherin-11 X-linked OS=Homo sapiens GN=PCDH11X PE=4 SV=1,PCDH11X
Q9HCE0,Ectopic P granules protein 5 homolog OS=Homo sapiens GN=EPG5 PE=2 SV=2,EPG5
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1",NDUFS3
O00264,Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3,PGRMC1
F5H2F4,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=1",MTHFD1
P41218,Myeloid cell nuclear differentiation antigen OS=Homo sapiens GN=MNDA PE=1 SV=1,MNDA
A6NHS7,MANSC domain-containing protein 4 OS=Homo sapiens GN=MANSC4 PE=3 SV=3,MANSC4
E9PF18,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens GN=HADH PE=1 SV=1",HADH
Q00013,55 kDa erythrocyte membrane protein OS=Homo sapiens GN=MPP1 PE=1 SV=2,MPP1
Q8IXM3,"39S ribosomal protein L41, mitochondrial OS=Homo sapiens GN=MRPL41 PE=1 SV=1",MRPL41
Q01546,"Keratin, type II cytoskeletal 2 oral OS=Homo sapiens GN=KRT76 PE=1 SV=2",KRT76
Q9NSD9,Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens GN=FARSB PE=1 SV=3,FARSB
P54886,Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2,ALDH18A1
P27338,Amine oxidase [flavin-containing] B OS=Homo sapiens GN=MAOB PE=1 SV=3,MAOB
Q14974,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,KPNB1
Q9BXW7,Cat eye syndrome critical region protein 5 OS=Homo sapiens GN=CECR5 PE=1 SV=1,CECR5
Q66K14,TBC1 domain family member 9B OS=Homo sapiens GN=TBC1D9B PE=1 SV=3,TBC1D9B
Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5,DYNC1H1
F5H5D3,Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1,TUBA1C
Q96JP2,Unconventional myosin-XVB OS=Homo sapiens GN=MYO15B PE=1 SV=1,MYO15B
C9J7L4,Solute carrier family 13 member 3 (Fragment) OS=Homo sapiens GN=SLC13A3 PE=1 SV=6,SLC13A3
P17252,Protein kinase C alpha type OS=Homo sapiens GN=PRKCA PE=1 SV=4,PRKCA
Q12792,Twinfilin-1 OS=Homo sapiens GN=TWF1 PE=1 SV=3,TWF1
P16662,UDP-glucuronosyltransferase 2B7 OS=Homo sapiens GN=UGT2B7 PE=1 SV=1,UGT2B7
Q7Z2T5,TRMT1-like protein OS=Homo sapiens GN=TRMT1L PE=1 SV=2,TRMT1L
O00338,Sulfotransferase 1C2 OS=Homo sapiens GN=SULT1C2 PE=1 SV=1,SULT1C2
Q99798,"Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2",ACO2
O43776,"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=NARS PE=1 SV=1",NARS
A0A024R4E5,"High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1",HDLBP
A0A0B4J1R6,Transketolase OS=Homo sapiens GN=TKT PE=1 SV=1,TKT
Q9UBG0,C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2,MRC2
P08727,"Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4",KRT19
A0A087WWT4,Tetraspanin OS=Homo sapiens GN=TSPAN10 PE=1 SV=1,TSPAN10
Q9BWF3,RNA-binding protein 4 OS=Homo sapiens GN=RBM4 PE=1 SV=1,RBM4
Q92499,ATP-dependent RNA helicase DDX1 OS=Homo sapiens GN=DDX1 PE=1 SV=2,DDX1
Q9H307,Pinin OS=Homo sapiens GN=PNN PE=1 SV=4,PNN
P61009,Signal peptidase complex subunit 3 OS=Homo sapiens GN=SPCS3 PE=1 SV=1,SPCS3
P22492,Histone H1t OS=Homo sapiens GN=HIST1H1T PE=2 SV=4,HIST1H1T
H0YHN7,Carboxypeptidase M (Fragment) OS=Homo sapiens GN=CPM PE=1 SV=1,CPM
P36578,60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5,RPL4
P35659,Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1,DEK
H7C4C3,AP-2 complex subunit mu (Fragment) OS=Homo sapiens GN=AP2M1 PE=1 SV=1,AP2M1
Q969U7,Proteasome assembly chaperone 2 OS=Homo sapiens GN=PSMG2 PE=1 SV=1,PSMG2
A0A087WT59,Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1,TTR
H9KVB4,Trinucleotide repeat-containing gene 18 protein OS=Homo sapiens GN=TNRC18 PE=1 SV=1,TNRC18
O14645,Axonemal dynein light intermediate polypeptide 1 OS=Homo sapiens GN=DNALI1 PE=1 SV=2,DNALI1
Q6P2P2,Putative protein arginine N-methyltransferase 9 OS=Homo sapiens GN=PRMT9 PE=2 SV=1,PRMT9
M0QXB5,"Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens GN=ETHE1 PE=1 SV=1",ETHE1
Q92902,Hermansky-Pudlak syndrome 1 protein OS=Homo sapiens GN=HPS1 PE=1 SV=2,HPS1
Q92947,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=GCDH PE=1 SV=1",GCDH
P61160,Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1,ACTR2
O15347,High mobility group protein B3 OS=Homo sapiens GN=HMGB3 PE=1 SV=4,HMGB3
F8VV64,Tensin-2 OS=Homo sapiens GN=TNS2 PE=1 SV=1,TNS2
Q9NVH2,Integrator complex subunit 7 OS=Homo sapiens GN=INTS7 PE=1 SV=1,INTS7
P17980,26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3,PSMC3
P29972,Aquaporin-1 OS=Homo sapiens GN=AQP1 PE=1 SV=3,AQP1
Q9UIG0,Tyrosine-protein kinase BAZ1B OS=Homo sapiens GN=BAZ1B PE=1 SV=2,BAZ1B
Q5TEC6,Histone H3 OS=Homo sapiens GN=HIST2H3PS2 PE=1 SV=1,HIST2H3PS2
O95202,"LETM1 and EF-hand domain-containing protein 1, mitochondrial OS=Homo sapiens GN=LETM1 PE=1 SV=1",LETM1
P48729,Casein kinase I isoform alpha OS=Homo sapiens GN=CSNK1A1 PE=1 SV=2,CSNK1A1
O00203,AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3,AP3B1
H0Y8X0,Protein DEK (Fragment) OS=Homo sapiens GN=DEK PE=1 SV=1,DEK
A0A087X0X3,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=1,HNRNPM
Q9UGM6,"Tryptophan--tRNA ligase, mitochondrial OS=Homo sapiens GN=WARS2 PE=1 SV=1",WARS2
Q07912,Activated CDC42 kinase 1 OS=Homo sapiens GN=TNK2 PE=1 SV=3,TNK2
A0A0C4DGV7,Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=1,RBP4
Q9UJU6,Drebrin-like protein OS=Homo sapiens GN=DBNL PE=1 SV=1,DBNL
P42126,"Enoyl-CoA delta isomerase 1, mitochondrial OS=Homo sapiens GN=ECI1 PE=1 SV=1",ECI1
B7Z5N5,Mothers against decapentaplegic homolog OS=Homo sapiens GN=SMAD2 PE=1 SV=1,SMAD2
G5E9X5,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens GN=MCCC1 PE=1 SV=1",MCCC1
Q01518,Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5,CAP1
Q9NUB1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Homo sapiens GN=ACSS1 PE=1 SV=2",ACSS1
H7C0A3,Protein ARPC4-TTLL3 (Fragment) OS=Homo sapiens GN=ARPC4-TTLL3 PE=1 SV=1,ARPC4-TTLL3
Q96AM1,Mas-related G-protein coupled receptor member F OS=Homo sapiens GN=MRGPRF PE=2 SV=1,MRGPRF
H0YJW9,Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=3,1
P62937,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,PPIA
Q5VTJ3,Kelch domain-containing protein 7A OS=Homo sapiens GN=KLHDC7A PE=1 SV=5,KLHDC7A
Q14019,Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3,COTL1
Q14764,Major vault protein OS=Homo sapiens GN=MVP PE=1 SV=4,MVP
Q8TEX9,Importin-4 OS=Homo sapiens GN=IPO4 PE=1 SV=2,IPO4
Q9BPW8,Protein NipSnap homolog 1 OS=Homo sapiens GN=NIPSNAP1 PE=1 SV=1,NIPSNAP1
P36404,ADP-ribosylation factor-like protein 2 OS=Homo sapiens GN=ARL2 PE=1 SV=4,ARL2
H7C4T5,Muscleblind-like protein 1 (Fragment) OS=Homo sapiens GN=MBNL1 PE=1 SV=1,MBNL1
O94925,"Glutaminase kidney isoform, mitochondrial OS=Homo sapiens GN=GLS PE=1 SV=1",GLS
Q7L590,Protein MCM10 homolog OS=Homo sapiens GN=MCM10 PE=1 SV=2,MCM10
Q96E39,"RNA binding motif protein, X-linked-like-1 OS=Homo sapiens GN=RBMXL1 PE=1 SV=1",RBMXL1
H0YG07,Malectin (Fragment) OS=Homo sapiens GN=MLEC PE=1 SV=1,MLEC
P00568,Adenylate kinase isoenzyme 1 OS=Homo sapiens GN=AK1 PE=1 SV=3,AK1
Q9BZE4,Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3,GTPBP4
P11233,Ras-related protein Ral-A OS=Homo sapiens GN=RALA PE=1 SV=1,RALA
P01031,Complement C5 OS=Homo sapiens GN=C5 PE=1 SV=4,C5
P07954,"Fumarate hydratase, mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3",FH
P22033,"Methylmalonyl-CoA mutase, mitochondrial OS=Homo sapiens GN=MUT PE=1 SV=4",MUT
Q9H9J2,"39S ribosomal protein L44, mitochondrial OS=Homo sapiens GN=MRPL44 PE=1 SV=1",MRPL44
Q14571,"Inositol 1,4,5-trisphosphate receptor type 2 OS=Homo sapiens GN=ITPR2 PE=1 SV=2",ITPR2
A0A024R216,"Hepatoma-derived growth factor, related protein 3, isoform CRA_a OS=Homo sapiens GN=HDGFRP3 PE=1 SV=1",HDGFRP3
A6ND91,Putative L-aspartate dehydrogenase OS=Homo sapiens GN=ASPDH PE=1 SV=2,ASPDH
Q8N7Z5,Putative ankyrin repeat domain-containing protein 31 OS=Homo sapiens GN=ANKRD31 PE=5 SV=2,ANKRD31
F8VVM2,"Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 PE=1 SV=1",SLC25A3
M0R3H8,Uncharacterized protein (Fragment) OS=Homo sapiens PE=3 SV=1,3
Q8TDN6,Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens GN=BRIX1 PE=1 SV=2,BRIX1
P21283,V-type proton ATPase subunit C 1 OS=Homo sapiens GN=ATP6V1C1 PE=1 SV=4,ATP6V1C1
H0YBZ2,HLA class II histocompatibility antigen gamma chain (Fragment) OS=Homo sapiens GN=CD74 PE=1 SV=1,CD74
Q02878,60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3,RPL6
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase OS=Homo sapiens GN=PDE2A PE=1 SV=1",PDE2A
J3KPF3,4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=1,SLC3A2
Q2TAL5,Smoothelin-like protein 2 OS=Homo sapiens GN=SMTNL2 PE=2 SV=1,SMTNL2
P62314,Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens GN=SNRPD1 PE=1 SV=1,SNRPD1
H0Y852,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial (Fragment) OS=Homo sapiens GN=SUCLG2 PE=1 SV=1",SUCLG2
Q9NPJ3,Acyl-coenzyme A thioesterase 13 OS=Homo sapiens GN=ACOT13 PE=1 SV=1,ACOT13
P53597,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens GN=SUCLG1 PE=1 SV=4",SUCLG1
A0A087WYA1,Unconventional myosin-XV OS=Homo sapiens GN=MYO15A PE=4 SV=1,MYO15A
E7EQR4,Ezrin OS=Homo sapiens GN=EZR PE=1 SV=3,EZR
P0C7M7,"Acyl-coenzyme A synthetase ACSM4, mitochondrial OS=Homo sapiens GN=ACSM4 PE=2 SV=1",ACSM4
F5GYB3,Fc receptor-like protein 6 (Fragment) OS=Homo sapiens GN=FCRL6 PE=4 SV=1,FCRL6
Q7Z4I7,LIM and senescent cell antigen-like-containing domain protein 2 OS=Homo sapiens GN=LIMS2 PE=1 SV=1,LIMS2
A8MXV4,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial OS=Homo sapiens GN=NUDT19 PE=1 SV=1",NUDT19
P21281,"V-type proton ATPase subunit B, brain isoform OS=Homo sapiens GN=ATP6V1B2 PE=1 SV=3",ATP6V1B2
H7C0H3,Succinate--hydroxymethylglutarate CoA-transferase (Fragment) OS=Homo sapiens GN=SUGCT PE=1 SV=1,SUGCT
A0A0C4DGF9,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens GN=PIK3C2A PE=1 SV=1,PIK3C2A
P51580,Thiopurine S-methyltransferase OS=Homo sapiens GN=TPMT PE=1 SV=1,TPMT
M0QYS1,60S ribosomal protein L13a (Fragment) OS=Homo sapiens GN=RPL13A PE=1 SV=2,RPL13A
P69905,Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2,HBA1
G3V5T0,Maleylacetoacetate isomerase OS=Homo sapiens GN=GSTZ1 PE=1 SV=1,GSTZ1
Q9NQC3,Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2,RTN4
O15145,Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3,ARPC3
P56182,Ribosomal RNA processing protein 1 homolog A OS=Homo sapiens GN=RRP1 PE=1 SV=1,RRP1
P11678,Eosinophil peroxidase OS=Homo sapiens GN=EPX PE=1 SV=2,EPX
E7ETU7,"39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1",MRPL3
Q8IVF6,Ankyrin repeat domain-containing protein 18A OS=Homo sapiens GN=ANKRD18A PE=2 SV=3,ANKRD18A
E5RFU4,Dihydropyrimidinase-related protein 2 (Fragment) OS=Homo sapiens GN=DPYSL2 PE=1 SV=1,DPYSL2
P24752,"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens GN=ACAT1 PE=1 SV=1",ACAT1
Q9NZL9,Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens GN=MAT2B PE=1 SV=1,MAT2B
P16104,Histone H2AX OS=Homo sapiens GN=H2AFX PE=1 SV=2,H2AFX
P12277,Creatine kinase B-type OS=Homo sapiens GN=CKB PE=1 SV=1,CKB
P41212,Transcription factor ETV6 OS=Homo sapiens GN=ETV6 PE=1 SV=1,ETV6
P04040,Catalase OS=Homo sapiens GN=CAT PE=1 SV=3,CAT
P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADSB PE=1 SV=1",ACADSB
Q9HD42,Charged multivesicular body protein 1a OS=Homo sapiens GN=CHMP1A PE=1 SV=1,CHMP1A
A0A0A0MRH7,Paired box protein Pax-2 OS=Homo sapiens GN=PAX2 PE=1 SV=1,PAX2
P68366,Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1,TUBA4A
Q13315,Serine-protein kinase ATM OS=Homo sapiens GN=ATM PE=1 SV=4,ATM
P08603,Complement factor H OS=Homo sapiens GN=CFH PE=1 SV=4,CFH
A0A087WUF0,Docosahexaenoic acid omega-hydroxylase CYP4F3 OS=Homo sapiens GN=CYP4F3 PE=1 SV=1,CYP4F3
H0YGT3,Steroid hormone receptor ERR1 (Fragment) OS=Homo sapiens GN=ESRRA PE=1 SV=1,ESRRA
Q9BUT1,3-hydroxybutyrate dehydrogenase type 2 OS=Homo sapiens GN=BDH2 PE=1 SV=2,BDH2
P07237,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,P4HB
P08729,"Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=5",KRT7
Q86WU2,"Probable D-lactate dehydrogenase, mitochondrial OS=Homo sapiens GN=LDHD PE=1 SV=1",LDHD
Q6IB77,Glycine N-acyltransferase OS=Homo sapiens GN=GLYAT PE=1 SV=3,GLYAT
Q9H2M3,S-methylmethionine--homocysteine S-methyltransferase BHMT2 OS=Homo sapiens GN=BHMT2 PE=1 SV=1,BHMT2
Q03164,Histone-lysine N-methyltransferase 2A OS=Homo sapiens GN=KMT2A PE=1 SV=5,KMT2A
A0A087WUQ6,Glutathione peroxidase OS=Homo sapiens GN=GPX1 PE=1 SV=1,GPX1
P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2,VDAC1
A0A0D9SEM4,Serine/arginine-rich-splicing factor 4 (Fragment) OS=Homo sapiens GN=SRSF4 PE=1 SV=1,SRSF4
Q7KZF4,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1,SND1
A0A087WW88,Charged multivesicular body protein 2b (Fragment) OS=Homo sapiens GN=CHMP2B PE=1 SV=1,CHMP2B
A0A0A0MQZ6,Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens GN=NSA2 PE=1 SV=1,NSA2
Q8WYP5,Protein ELYS OS=Homo sapiens GN=AHCTF1 PE=1 SV=3,AHCTF1
E5KLJ9,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=1",OPA1
Q5TCY1,Tau-tubulin kinase 1 OS=Homo sapiens GN=TTBK1 PE=1 SV=2,TTBK1
Q9HAB8,Phosphopantothenate--cysteine ligase OS=Homo sapiens GN=PPCS PE=1 SV=2,PPCS
P52597,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens GN=HNRNPF PE=1 SV=3,HNRNPF
Q8N0X4,"Citrate lyase subunit beta-like protein, mitochondrial OS=Homo sapiens GN=CLYBL PE=1 SV=2",CLYBL
Q969Z0,Protein TBRG4 OS=Homo sapiens GN=TBRG4 PE=1 SV=1,TBRG4
A0A0G2JH46,"HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens GN=HLA-DRA PE=1 SV=1",HLA-DRA
Q9BYV1,"Alanine--glyoxylate aminotransferase 2, mitochondrial OS=Homo sapiens GN=AGXT2 PE=1 SV=1",AGXT2
B7Z306,Ubiquitin-conjugating enzyme E2 E1 OS=Homo sapiens GN=UBE2E1 PE=1 SV=1,UBE2E1
Q92973,Transportin-1 OS=Homo sapiens GN=TNPO1 PE=1 SV=2,TNPO1
Q8IXI1,Mitochondrial Rho GTPase 2 OS=Homo sapiens GN=RHOT2 PE=1 SV=2,RHOT2
A0A0D9SFB1,Dynamin-1 OS=Homo sapiens GN=DNM1 PE=1 SV=1,DNM1
Q8NHY3,GAS2-like protein 2 OS=Homo sapiens GN=GAS2L2 PE=2 SV=1,GAS2L2
P00387,NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3 PE=1 SV=3,CYB5R3
O75955,Flotillin-1 OS=Homo sapiens GN=FLOT1 PE=1 SV=3,FLOT1
P35914,"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Homo sapiens GN=HMGCL PE=1 SV=2",HMGCL
Q13247,Serine/arginine-rich splicing factor 6 OS=Homo sapiens GN=SRSF6 PE=1 SV=2,SRSF6
Q96GP6,Scavenger receptor class F member 2 OS=Homo sapiens GN=SCARF2 PE=1 SV=4,SCARF2
O14957,Cytochrome b-c1 complex subunit 10 OS=Homo sapiens GN=UQCR11 PE=3 SV=1,UQCR11
Q92878,DNA repair protein RAD50 OS=Homo sapiens GN=RAD50 PE=1 SV=1,RAD50
Q14195,Dihydropyrimidinase-related protein 3 OS=Homo sapiens GN=DPYSL3 PE=1 SV=1,DPYSL3
P18583,Protein SON OS=Homo sapiens GN=SON PE=1 SV=4,SON
P05455,Lupus La protein OS=Homo sapiens GN=SSB PE=1 SV=2,SSB
Q86Y39,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 OS=Homo sapiens GN=NDUFA11 PE=1 SV=3,NDUFA11
P78542,Hexokinase-1 (Fragment) OS=Homo sapiens GN=HK1 PE=1 SV=1,HK1
P21953,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Homo sapiens GN=BCKDHB PE=1 SV=2",BCKDHB
P10599,Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,TXN
O75396,Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4,SEC22B
H0Y4B9,"Propionyl-CoA carboxylase alpha chain, mitochondrial (Fragment) OS=Homo sapiens GN=PCCA PE=1 SV=1",PCCA
P11171,Protein 4.1 OS=Homo sapiens GN=EPB41 PE=1 SV=4,EPB41
