Gene_Symbol,ESM2_Cluster,AE_Cluster,Matrisome_Category,Matrisome_Division,Protein_ID,Protein_Name,UMAP1_AE,UMAP2_AE,UMAP1_ESM2,UMAP2_ESM2
COL6A5,-1,-1,Collagens,Core matrisome,A6H584,Collagen alpha-5(VI) chain,10.795788,8.975282,-17.971905,14.563912
COL6A6,-1,-1,Collagens,Core matrisome,A6NMZ7,Collagen alpha-6(VI) chain,13.196367,6.610638,-6.565397,2.6971755
COL7A1,-1,-1,Collagens,Core matrisome,Q02388,Collagen alpha-1(VII) chain,19.952057,12.106518,-17.928862,14.889011
COL8A1,-1,-1,Collagens,Core matrisome,P27658,Collagen alpha-1(VIII) chain;Vastatin,13.119009,6.80718,-6.3497767,2.572895
COL8A2,-1,-1,Collagens,Core matrisome,P25067,Collagen alpha-2(VIII) chain,14.406161,9.624481,-5.8082256,-2.0387797
COL9A1,-1,-1,Collagens,Core matrisome,P20849,Collagen alpha-1(IX) chain,14.2837305,9.681993,-5.773047,-1.6607692
COL9A2,-1,-1,Collagens,Core matrisome,Q14055,Collagen alpha-2(IX) chain,12.907379,8.301985,-6.616499,0.8235025
COL9A3,18,-1,Collagens,Core matrisome,Q14050,Collagen alpha-3(IX) chain,8.507675,12.054884,-9.375178,-1.2608235
COLEC12,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q8K4Q8,Collectin-12,10.721161,9.0158205,-0.6930492,3.4394572
COLQ,19,16,ECM Glycoproteins,Core matrisome,E9PVR3,Acetylcholinesterase collagenic tail peptide,10.283151,6.364808,-5.0491858,4.152103
COMP,-1,-1,ECM Glycoproteins,Core matrisome,P49747,Cartilage oligomeric matrix protein,10.93662,10.83697,-6.975429,-1.8911304
CPAMD8,-1,-1,ECM Regulators,Matrisome-associated,Q8IZJ3,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8,10.095826,11.1867695,-8.68732,-2.4104648
CPN2,-1,-1,ECM Regulators,Matrisome-associated,P22792,Carboxypeptidase N subunit 2,12.178211,6.6167216,-7.5610085,2.7463858
CRELD1,-1,-1,ECM Glycoproteins,Core matrisome,A8C1T7,Cysteine-rich with EGF-like domain protein 1,7.3525558,8.80826,-3.4713593,4.1180334
CRELD2,-1,-1,ECM Glycoproteins,Core matrisome,Q6UXH1,Cysteine-rich with EGF-like domain protein 2,10.394859,6.3708572,-5.1437154,4.136508
CRISPLD1,-1,-1,ECM Glycoproteins,Core matrisome,Q9H336,Cysteine-rich secretory protein LCCL domain-containing 1,12.916148,10.198208,-6.156062,-1.5001811
CRISPLD2,-1,-1,ECM Glycoproteins,Core matrisome,Q9H0B8,Cysteine-rich secretory protein LCCL domain-containing 2,7.1148133,12.566286,-12.507444,1.9812005
CRLF1,-1,-1,Secreted Factors,Matrisome-associated,O75462,Cytokine receptor-like factor 1,10.316745,6.3598537,-8.56941,3.2192242
CRLF3,20,-1,Secreted Factors,Matrisome-associated,Q9Z2L7,Cytokine receptor-like factor 3,7.0313993,9.805828,-2.7544491,3.9575665
CSPG4,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q6UVK1,Chondroitin sulfate proteoglycan 4,13.555967,9.709566,-5.466915,-1.0119689
CST12,-1,-1,ECM Regulators,Matrisome-associated,E9Q1S9,Cystatin;Cystatin-12,11.213647,8.309065,-4.98481,0.49584
CST3,-1,-1,ECM Regulators,Matrisome-associated,P01034,Cystatin-C,11.931819,8.087478,-5.9622974,0.8699249
CST6,8,9,ECM Regulators,Matrisome-associated,Q15828,Cystatin-M,19.981308,12.114245,-18.024967,14.580743
CSTA,-1,-1,ECM Regulators,Matrisome-associated,P01040,"Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]",14.251934,6.9186034,0.7343188,6.018488
CSTB,-1,-1,ECM Regulators,Matrisome-associated,P04080,Cystatin-B,13.102615,6.7566214,-4.220749,2.0561414
CTGF,-1,-1,ECM Glycoproteins,Core matrisome,P29279,Connective tissue growth factor,11.388245,10.635746,-6.7887917,-1.8790195
CTHRC1,-1,-1,ECM Glycoproteins,Core matrisome,Q96CG8,Collagen triple helix repeat-containing protein 1,13.067222,9.913696,-6.5417347,-0.8449792
CTSA,-1,-1,ECM Regulators,Matrisome-associated,P10619,Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain,7.025955,10.339997,-0.31386936,3.5263278
CTSB,-1,-1,ECM Regulators,Matrisome-associated,P07858,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,13.26757,6.6493697,-6.387812,2.6486611
CTSC,-1,1,ECM Regulators,Matrisome-associated,P53634,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,14.75566,4.898004,-4.04262,7.7608857
CTSD,1,-1,ECM Regulators,Matrisome-associated,P07339,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,12.874284,6.735247,-6.4000998,2.6144342
CTSF,-1,-1,ECM Regulators,Matrisome-associated,Q9UBX1,Cathepsin F,11.21116,8.6695,-5.0526237,0.42968145
CTSG,-1,-1,ECM Regulators,Matrisome-associated,P08311,Cathepsin G,12.410539,7.5791225,-8.153027,2.8917813
CTSH,17,-1,ECM Regulators,Matrisome-associated,P09668,Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain,5.827407,13.179139,-12.663188,1.9280959
CTSL,-1,-1,ECM Regulators,Matrisome-associated,P07711,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,11.18158,8.56708,-4.99995,0.44945738
CTSS,-1,-1,ECM Regulators,Matrisome-associated,P25774,Cathepsin S,12.083804,10.1213455,-6.834818,-2.0017107
CTSV,8,9,ECM Regulators,Matrisome-associated,O60911,Cathepsin L2,20.048513,12.542384,-17.893505,15.094282
CTSZ,-1,-1,ECM Regulators,Matrisome-associated,Q9UBR2,Cathepsin Z,12.990598,6.8436475,-6.242836,2.5597537
CXCL10,16,23,Secreted Factors,Matrisome-associated,P02778,C-X-C motif chemokine 10;CXCL10(1-73),8.500506,12.757239,-8.763358,-2.5630774
CXCL12,-1,-1,Secreted Factors,Matrisome-associated,P48061,Stromal cell-derived factor 1;SDF-1-beta(3-72);SDF-1-alpha(3-67),12.101093,7.077064,-6.957348,2.482419
CXCL14,-1,-1,Secreted Factors,Matrisome-associated,O95715,C-X-C motif chemokine 14,14.233442,9.112038,-5.9112234,-1.3729122
CXCL15,15,17,Secreted Factors,Matrisome-associated,Q9WVL7,C-X-C motif chemokine 15,8.151527,11.456304,-7.2450786,0.3950391
CYR61,-1,-1,ECM Glycoproteins,Core matrisome,O00622,Protein CYR61,3.381385,7.417109,1.0205494,6.154632
Cabp1,14,12,Secreted Factors,Matrisome-associated,D3Z1M4,,-0.6958694,4.40397,4.149467,5.0051603
Cap2,-1,-1,ECM Regulators,Matrisome-associated,Q9CYT6,Adenylyl cyclase-associated protein 2 (CAP 2),2.5010462,6.83707,0.5406202,5.3144426
Cbln1,-1,-1,Secreted Factors,Matrisome-associated,Q9R171,,-0.8711391,5.953027,4.7304454,6.0218463
Cbln4,-1,-1,Secreted Factors,Matrisome-associated,Q8BME9,,1.7598261,9.732565,2.1652408,2.4919713
Ccl21c,13,12,Secreted Factors,Matrisome-associated,P86793,,-0.7069422,4.170871,3.4582596,4.6764765
Cd109,-1,-1,ECM Regulators,Matrisome-associated,Q8R422,,2.9488523,8.693591,0.34441805,3.9407506
Cd209d,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q91ZW8-2,,-1.3015072,5.189156,3.595899,5.0962677
Chad,-1,-1,Proteoglycans,Core matrisome,O55226,,2.3143682,8.078887,1.653391,4.6238947
Chadl,-1,-1,Proteoglycans,Core matrisome,E9Q7T7,,-1.7384642,6.457531,3.8107712,5.7143555
Chl1,-1,-1,Secreted Factors,Matrisome-associated,P70232,,-1.6528493,6.5821943,4.42899,6.4491243
Cilp,4,5,ECM Glycoproteins,Core matrisome,Q66K08,Cartilage intermediate layer protein 1 (CILP-1) [Cleaved into: Cartilage intermediate layer protein 1 C1; Cartilage intermediate layer protein 1 C2],0.5995569,10.06602,1.1030523,1.2671422
Cilp2,-1,-1,ECM Glycoproteins,Core matrisome,D3Z7H8,Cartilage intermediate layer protein 2 [Cleaved into: Cartilage intermediate layer protein 2 C1; Cartilage intermediate layer protein 2 C2],1.2689273,8.505127,0.7746933,2.9982457
Clec10a,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P49300,C-type lectin domain family 10 member A (MMGL) (Macrophage asialoglycoprotein-binding protein 1) (M-ASGP-BP-1) (Macrophage galactose/N-acetylgalactosamine-specific lectin),7.5485983,10.5333185,-0.5007845,3.0577817
Clec1a,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q8BWY2,C-type lectin domain family 1 member A,4.5216937,8.717287,-0.26789135,5.2131605
Clec2l,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P0C7M9,,-1.7839528,6.574122,3.8516095,5.786748
Clec3b,12,14,ECM-affiliated Proteins,Matrisome-associated,P43025,Tetranectin (TN) (C-type lectin domain family 3 member B) (Plasminogen kringle 4-binding protein),3.7174141,7.5972934,0.6681818,5.994245
Coch,-1,-1,ECM Glycoproteins,Core matrisome,Q62507,,2.9716115,9.855618,0.5746409,3.4498098
Col11a1,-1,-1,Collagens,Core matrisome,Q61245,,1.6775568,8.32659,1.0594516,4.066321
Col11a2,-1,-1,Collagens,Core matrisome,Q64739,,1.0360693,8.6372175,0.7016354,2.659219
Col12a1,-1,-1,Collagens,Core matrisome,Q60847,Collagen alpha-1(XII) chain,1.0403475,8.698535,0.7508701,2.668143
Col14a1,-1,-1,Collagens,Core matrisome,Q80X19,Collagen alpha-1(XIV) chain,2.2695298,7.931197,1.7194698,4.587134
Col15a1,-1,-1,Collagens,Core matrisome,O35206,Collagen alpha-1(XV) chain [Cleaved into: Restin (Endostatin-XV)],2.3787072,7.9225864,1.6078115,4.6886177
Col18a1,-1,-1,Collagens,Core matrisome,P39061,Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1 (NC1)],2.2014813,9.533468,1.2609766,2.9653764
Col1a1,-1,-1,Collagens,Core matrisome,P11087,Collagen alpha-1(I) chain (Alpha-1 type I collagen),1.2905626,8.813343,0.94082934,2.8313425
Col1a2,-1,-1,Collagens,Core matrisome,Q01149,Collagen alpha-2(I) chain (Alpha-2 type I collagen),1.3504468,9.295865,1.6223898,2.492886
Col25a1,-1,12,Collagens,Core matrisome,Q99MQ5,,-0.73781395,4.196077,3.51284,4.819683
Col2a1,-1,-1,Collagens,Core matrisome,P28481,Collagen alpha-1(II) chain (Alpha-1 type II collagen) [Cleaved into: Collagen alpha-1(II) chain; Chondrocalcin],1.0699189,8.560676,0.7339371,2.8118703
Col3a1,-1,-1,Collagens,Core matrisome,P08121,Collagen alpha-1(III) chain,2.0822687,7.750886,1.3740792,4.3792653
Col4a1,-1,-1,Collagens,Core matrisome,P02463,Collagen alpha-1(IV) chain [Cleaved into: Arresten],0.7762876,9.32635,0.4148781,1.9154611
Col4a2,-1,-1,Collagens,Core matrisome,P08122,Collagen alpha-2(IV) chain [Cleaved into: Canstatin],0.77671957,9.386979,0.33620092,2.040285
Col4a3,-1,-1,Collagens,Core matrisome,Q9QZS0,Collagen alpha-3(IV) chain [Cleaved into: Tumstatin],0.96250165,9.120331,0.7579688,2.000622
Col4a4,-1,-1,Collagens,Core matrisome,Q9QZR9,Collagen alpha-4(IV) chain,3.377813,9.779362,0.8498569,1.1089989
Col4a5,-1,-1,Collagens,Core matrisome,Q63ZW6,,7.344432,10.988993,-0.22757992,3.4687586
Col5a1,-1,-1,Collagens,Core matrisome,O88207,Collagen alpha-1(V) chain,1.9524492,7.354646,0.43050224,4.3911495
Col5a2,-1,-1,Collagens,Core matrisome,Q3U962,Collagen alpha-2(V) chain,1.064953,8.601807,0.77687097,2.875645
Col6a1,-1,-1,Collagens,Core matrisome,Q04857,Collagen alpha-1(VI) chain,1.2972071,9.743885,1.9093528,2.1777217
Col6a2,-1,-1,Collagens,Core matrisome,Q02788,Collagen alpha-2(VI) chain,1.3023278,9.418013,1.7189476,2.3119001
Col6a3,-1,-1,Collagens,Core matrisome,J3QQ16,,2.5209448,9.83884,2.0128176,2.8542953
Col6a5,4,5,Collagens,Core matrisome,A6H584,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain),0.65018487,10.0369215,1.1625305,1.2965798
Col6a6,-1,-1,Collagens,Core matrisome,Q8C6K9,Collagen alpha-6(VI) chain,0.8736048,10.155641,1.1402959,1.2540401
Col8a2,-1,-1,Collagens,Core matrisome,P25318,,1.0106953,8.639795,0.51186454,2.429107
Colec11,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q3SXB8,Collectin-11 (Collectin kidney protein 1) (CL-K1),2.5131507,6.8455667,0.12622926,4.328528
Colec12,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q8K4Q8,Collectin-12 (Collectin placenta protein 1) (CL-P1) (Scavenger receptor with C-type lectin),-0.10233599,6.1206427,1.6568938,6.2807975
Comp,-1,-1,ECM Glycoproteins,Core matrisome,Q9R0G6,,0.85262316,8.724428,0.40014187,2.0302176
Cpn2,-1,-1,ECM Regulators,Matrisome-associated,Q9DBB9,Carboxypeptidase N subunit 2 (Carboxypeptidase N 83 kDa chain) (Carboxypeptidase N large subunit) (Carboxypeptidase N polypeptide 2) (Carboxypeptidase N regulatory subunit),4.62708,8.473826,-0.15952027,3.3402827
Creld1,7,8,ECM Glycoproteins,Core matrisome,Q91XD7,Cysteine-rich with EGF-like domain protein 1,-0.52128,6.1776032,2.2579472,6.4395785
Creld2,7,8,ECM Glycoproteins,Core matrisome,Q9CYA0,Cysteine-rich with EGF-like domain protein 2,-0.359401,6.0838847,2.2328403,6.3358684
Crlf3,-1,-1,Secreted Factors,Matrisome-associated,J3QMV5,Cytokine receptor-like factor 3 (Cytokine receptor-like molecule 9) (CREME-9) (Cytokine receptor-related factor 4),3.5673695,9.016155,-0.025813462,5.6190953
Crp,-1,-1,ECM Glycoproteins,Core matrisome,P14847,,1.437776,9.519421,2.3717968,2.5708892
Cspg4,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q8VHY0,Chondroitin sulfate proteoglycan 4 (Chondroitin sulfate proteoglycan NG2) (Proteoglycan AN2),0.101066336,6.3676877,2.3298292,5.9731836
Cspg5,13,12,ECM-affiliated Proteins,Matrisome-associated,Q71M36,,-0.6887711,4.1779647,3.4088027,4.6542826
Cst3,-1,-1,ECM Regulators,Matrisome-associated,P21460,Cystatin-C (Cystatin-3),2.6423311,8.273793,1.1025665,4.647164
Cstb,-1,-1,ECM Regulators,Matrisome-associated,Q62426,Cystatin-B (Stefin-B),0.720697,8.621406,0.26181597,2.0972674
Ctsa,-1,-1,ECM Regulators,Matrisome-associated,P16675,Lysosomal protective protein (EC 3.4.16.5) (Carboxypeptidase C) (Carboxypeptidase L) (Cathepsin A) (Protective protein cathepsin A) (PPCA) (Protective protein for beta-galactosidase) [Cleaved into: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain],2.9997284,9.805898,0.73505855,3.438173
Ctsb,-1,-1,ECM Regulators,Matrisome-associated,P10605,Cathepsin B (EC 3.4.22.1) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],0.67194754,9.611677,0.62666255,1.6267189
Ctsc,-1,3,ECM Regulators,Matrisome-associated,P97821,Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)],0.40248856,8.275772,1.0553864,5.9917183
Ctsd,-1,-1,ECM Regulators,Matrisome-associated,P18242,Cathepsin D (EC 3.4.23.5),0.7772239,9.570091,0.565766,1.7702186
Ctsf,-1,-1,ECM Regulators,Matrisome-associated,Q9R013,Cathepsin F (EC 3.4.22.41),0.7591346,9.622351,0.62877136,1.7410942
Ctsh,-1,-1,ECM Regulators,Matrisome-associated,P49935,Pro-cathepsin H (Cathepsin B3) (Cathepsin BA) [Cleaved into: Cathepsin H mini chain; Cathepsin H (EC 3.4.22.16); Cathepsin H heavy chain; Cathepsin H light chain],0.9992515,10.112958,1.4177661,1.655107
Ctsl,-1,-1,ECM Regulators,Matrisome-associated,P06797,Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) (p39 cysteine proteinase) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain],1.9122279,8.216123,1.1811188,4.099883
Ctss,-1,-1,ECM Regulators,Matrisome-associated,O70370,Cathepsin S (EC 3.4.22.27),0.5904422,8.699585,0.12641262,2.1977239
Ctsz,-1,-1,ECM Regulators,Matrisome-associated,Q9WUU7,Cathepsin Z (EC 3.4.18.1),2.393521,9.584757,1.863387,2.8562613
Cx3cl1,-1,-1,Secreted Factors,Matrisome-associated,O35188,,4.8187637,9.0013075,0.4786821,3.3317366
Cxcl12,4,5,Secreted Factors,Matrisome-associated,P40224,Stromal cell-derived factor 1 (SDF-1) (12-O-tetradecanoylphorbol 13-acetate repressed protein 1) (TPAR1) (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor) (PBSF) (Thymic lymphoma cell-stimulating factor) (TLSF),0.64639914,10.061597,1.1385084,1.2228203
Cyr61,-1,-1,ECM Glycoproteins,Core matrisome,P18406,,0.5298827,8.520976,0.08937107,2.1275764
DCN,-1,-1,Proteoglycans,Core matrisome,P07585,Decorin,13.700946,7.963722,-5.911134,0.2108081
DPT,-1,-1,ECM Glycoproteins,Core matrisome,Q07507,Dermatopontin,12.621608,7.957345,-6.1903687,0.9113994
DSP,-1,-1,ECM Glycoproteins,Core matrisome,P15924,Desmoplakin,14.321926,9.422419,-6.031839,-1.25872
Dcn,-1,-1,Proteoglycans,Core matrisome,P28654,Decorin (Bone proteoglycan II) (PG-S2) (PG40),2.7145975,9.131764,1.0324452,3.6632879
Dpt,-1,-1,ECM Glycoproteins,Core matrisome,Q9QZZ6,Dermatopontin (Early quiescence protein 1) (EQ-1) (Tyrosine-rich acidic matrix protein) (TRAMP),0.9833778,7.95317,0.172493,2.791183
Dsp,-1,-1,ECM Glycoproteins,Core matrisome,E9Q557,Desmoplakin (DP),-1.3461229,6.556178,4.4261956,6.389247
EBI3,-1,-1,Secreted Factors,Matrisome-associated,Q14213,Interleukin-27 subunit beta OS=Homo sapiens GN=EBI3 PE=1 SV=2,12.469331,7.7957644,-6.4742393,1.175691
ECM1,-1,-1,ECM Glycoproteins,Core matrisome,Q16610,Extracellular matrix protein 1,6.923445,10.70672,-8.492693,3.1155453
ECM2,6,10,ECM Glycoproteins,Core matrisome,O94769,Extracellular matrix protein 2,13.466006,9.756649,-6.2353077,-0.85495955
EDIL3,-1,15,ECM Glycoproteins,Core matrisome,O43854,EGF-like repeat and discoidin I-like domain-containing protein 3,12.673107,10.369295,-6.635804,-1.4432442
EFEMP1,-1,-1,ECM Glycoproteins,Core matrisome,Q12805,EGF-containing fibulin-like extracellular matrix protein 1,11.199211,8.310679,-4.9654016,0.5075305
EFEMP2,2,1,ECM Glycoproteins,Core matrisome,O95967,EGF-containing fibulin-like extracellular matrix protein 2,14.850879,4.5485654,-4.1036067,7.834535
EGF,3,4,Secreted Factors,Matrisome-associated,P01133,Pro-epidermal growth factor OS=Homo sapiens GN=EGF PE=1 SV=2,14.185081,6.4045177,-4.292823,1.8663117
EGFL7,20,19,Secreted Factors,Matrisome-associated,Q9QXT5,Epidermal growth factor-like protein 7,7.343804,8.807949,-3.4101815,4.09292
EGFLAM,-1,-1,ECM Glycoproteins,Core matrisome,Q4VBE4,Pikachurin,4.000355,7.916602,0.4697282,5.975809
EGLN1,-1,-1,ECM Regulators,Matrisome-associated,Q9GZT9,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20),3.4082952,7.3665557,1.1648949,6.268919
ELANE,-1,-1,ECM Regulators,Matrisome-associated,P08246,Neutrophil elastase,12.6788025,8.257594,-5.6941137,-1.9694928
ELN,-1,-1,ECM Glycoproteins,Core matrisome,P15502,Elastin,12.049028,6.8133383,-7.1646194,2.812926
EMID1,20,-1,ECM Glycoproteins,Core matrisome,Q5SUT2,EMI domain-containing protein 1,6.9990697,9.8457365,-2.6452262,3.9223692
EMILIN1,-1,-1,ECM Glycoproteins,Core matrisome,Q9Y6C2,EMILIN-1,13.120845,8.153774,-6.3893394,0.8470591
EMILIN2,0,0,ECM Glycoproteins,Core matrisome,Q9BXX0,EMILIN-2,16.689209,5.4498763,-0.96363384,11.564726
EMILIN3,-1,-1,ECM Glycoproteins,Core matrisome,Q9NT22,EMILIN-3,14.195493,9.64172,-5.6058717,-1.2382042
EPYC,-1,-1,Proteoglycans,Core matrisome,Q99645,Epiphycan,7.610854,9.900882,-8.63192,2.904188
Ecm1,-1,-1,ECM Glycoproteins,Core matrisome,Q61508,Extracellular matrix protein 1 (Secretory component p85),2.6282752,6.943187,0.3090523,4.4426117
Edil3,-1,7,ECM Glycoproteins,Core matrisome,O35474,,2.4537914,9.575804,1.5587342,2.9390512
Efemp1,-1,-1,ECM Glycoproteins,Core matrisome,Q8BPB5,EGF-containing fibulin-like extracellular matrix protein 1 (Fibulin-3) (FIBL-3),2.4140575,7.9065104,1.6064668,4.72807
Efemp2,-1,-1,ECM Glycoproteins,Core matrisome,Q9WVJ9,,6.0304966,11.714033,-0.102861635,3.6511533
Egfl7,9,11,Secreted Factors,Matrisome-associated,Q9QXT5,Epidermal growth factor-like protein 7 (EGF-like protein 7) (Multiple epidermal growth factor-like domains protein 7) (Multiple EGF-like domains protein 7) (NOTCH4-like protein) (Vascular endothelial statin) (VE-statin) (Zneu1),3.6209247,9.780895,0.6791413,1.0156155
Egln1,-1,-1,ECM Regulators,Matrisome-associated,Q91YE3,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20),-0.17286402,6.1474547,2.4859958,5.907485
Elfn1,14,12,ECM-affiliated Proteins,Matrisome-associated,Q8C8T7,,-0.86785215,4.7271714,4.2678494,5.318991
Elfn2,14,12,ECM-affiliated Proteins,Matrisome-associated,Q68FM6,,-1.2431569,5.289287,4.2705417,5.674331
Eln,-1,-1,ECM Glycoproteins,Core matrisome,P54320,Elastin (Tropoelastin),2.1805916,7.90697,1.5959678,4.5179753
Emilin1,-1,-1,ECM Glycoproteins,Core matrisome,Q99K41,EMILIN-1 (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1),2.2725585,7.001315,0.9374456,4.8150306
Emilin2,-1,-1,ECM Glycoproteins,Core matrisome,Q8K482,EMILIN-2 (Basilin) (Elastin microfibril interface-located protein 2) (Elastin microfibril interfacer 2),2.4065187,7.336549,1.0697858,5.2856307
F10,-1,-1,ECM Regulators,Matrisome-associated,P00742,Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain,12.376532,6.312301,-8.111613,2.8268228
F12,-1,1,ECM Regulators,Matrisome-associated,P00748,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain,14.702865,4.6653523,-4.015673,7.767005
F13A1,-1,-1,ECM Regulators,Matrisome-associated,P00488,Coagulation factor XIII A chain,12.491559,7.7651305,-6.5831785,1.3035477
F13B,-1,-1,ECM Regulators,Matrisome-associated,P05160,Coagulation factor XIII B chain,10.765801,6.5214734,-5.1741414,4.1838326
F13a1,-1,-1,ECM Regulators,Matrisome-associated,Q8BH61,Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain),2.499234,8.188884,1.4846243,4.6208167
F13b,-1,-1,ECM Regulators,Matrisome-associated,Q07968,Coagulation factor XIII B chain (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain),3.006417,7.4266143,1.0835793,5.3044305
F2,-1,-1,ECM Regulators,Matrisome-associated,P00734,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,12.343192,6.159734,-7.972931,2.970405
F7,-1,-1,ECM Regulators,Matrisome-associated,P08709,Coagulation factor VII;Factor VII light chain;Factor VII heavy chain,10.559758,10.998705,-8.217253,-2.1654625
F9,-1,-1,ECM Regulators,Matrisome-associated,P00740,Coagulation factor IX;Coagulation factor IXa light chain;Coagulation factor IXa heavy chain,12.070865,6.2684526,-8.263765,3.0161881
FAM132A,20,19,Secreted Factors,Matrisome-associated,Q8R2Z0,Adipolin;Adipolin fCTRP12;Adipolin gCTRP12,7.336858,8.837847,-3.373132,4.0831327
FAM20C,-1,-1,ECM Regulators,Matrisome-associated,Q8IXL6,Extracellular serine/threonine protein kinase FAM20C,6.8378034,12.693102,-12.1111,2.083085
FBLN1,-1,-1,ECM Glycoproteins,Core matrisome,P23142,Fibulin-1,14.390273,7.5164547,-3.9138641,-0.1321345
FBLN2,-1,-1,ECM Glycoproteins,Core matrisome,P98095,Fibulin-2,13.762885,9.737307,-5.628653,-1.1435312
FBLN5,-1,-1,ECM Glycoproteins,Core matrisome,Q9UBX5,Fibulin-5,15.059309,7.6640925,-4.0727935,0.058708295
FBLN7,2,1,ECM Glycoproteins,Core matrisome,Q53RD9,Fibulin-7,14.820755,4.5698113,-4.0686946,7.819446
FBN1,-1,-1,ECM Glycoproteins,Core matrisome,P35555,Fibrillin-1,12.832794,8.571563,-6.1972876,-0.8722159
FBN2,-1,-1,ECM Glycoproteins,Core matrisome,P35556,Fibrillin-2,14.733003,7.101682,-4.16544,-0.17391
FBN3,-1,-1,ECM Glycoproteins,Core matrisome,Q75N90,Fibrillin-3,12.02935,6.3628426,-8.140457,3.0251994
FCN1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O70165,Ficolin-1,11.19211,8.223999,-4.945089,0.5035503
FCN2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q15485,Ficolin-2,12.44441,7.6528406,-7.8514533,2.9043796
FCN3,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O75636,Ficolin-3,7.5213695,9.96275,-8.835725,2.8874173
FGA,-1,-1,ECM Glycoproteins,Core matrisome,P02671,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,12.000524,6.606142,-7.8419127,3.0154204
FGB,-1,-1,ECM Glycoproteins,Core matrisome,P02675,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,12.045703,6.907815,-7.713064,3.0007086
FGF1,12,14,Secreted Factors,Matrisome-associated,P61148,Fibroblast growth factor 1;Fibroblast growth factor,3.868007,7.7681055,0.54631877,6.033293
FGF12,11,13,Secreted Factors,Matrisome-associated,P61328,Fibroblast growth factor 12 (FGF-12) (Fibroblast growth factor homologous factor 1) (FHF-1) (Myocyte-activating factor),4.4657316,8.629523,-0.19596145,5.5195847
FGF2,-1,-1,Secreted Factors,Matrisome-associated,P09038,Fibroblast growth factor 2,12.74391,8.47401,-6.877626,0.7763454
