Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality,Abundance_Young_Original,Abundance_Old_Original,Insight_Relevance
Santinha_2024_Mouse_DT,Heart,Decellularized_Tissue,16.150298922211018,,17.18597202340398,,Col14a1,Col14a1,100.0,1.0,Collagens,Core matrisome,TMT-10plex LC-MS/MS,,,Q80X19,Collagen alpha-1(XIV) chain,Mus musculus,Santinha_2024_Mouse_DT,Heart_Decellularized_Tissue,Decellularized_Tissue,-2.0582733136681703,-0.6404358510120254,0.5368155079579695,,17.18597202340398,16.150298922211018,G1_Universal
Santinha_2024_Human,Heart,Native_Tissue,17.658283370262275,,14.278999693486904,,TIMP3,TIMP3,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,P35625,Metalloproteinase inhibitor 3 (Protein MIG-5) (Tissue inhibitor of metalloproteinases 3) (TIMP-3),Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,5.471262026125018,0.3996108193403753,-0.9647103144414636,,13.847347841407656,16.963464152959144,S3_TIMP3
Santinha_2024_Human,Heart,Native_Tissue,25.1380943226242,,22.99746434802915,,CILP,CILP,100.0,1.0,ECM Glycoproteins,Core matrisome,TMT-10plex LC-MS/MS,,,O75339,Cartilage intermediate layer protein 1 (CILP-1) (Cartilage intermediate-layer protein) [Cleaved into: Cartilage intermediate layer protein 1 C1; Cartilage intermediate layer protein 1 C2],Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,3.2780861057800963,3.7064556276302927,2.882594131361651,,14.31190348542596,15.984422930664438,Supporting
Santinha_2024_Human,Heart,Native_Tissue,16.456291607462784,,14.508597212196232,,LRG1,LRG1,100.0,1.0,ECM Glycoproteins,Core matrisome,TMT-10plex LC-MS/MS,,,P02750,Leucine-rich alpha-2-glycoprotein (LRG),Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,2.936471927405437,-0.1317930150260006,-0.8633929851321622,,15.02848844116562,16.602528035438578,G1_Universal
Santinha_2024_Human,Heart,Native_Tissue,16.556314245215482,,14.673824369362077,,VTN,VTN,100.0,1.0,ECM Glycoproteins,Core matrisome,TMT-10plex LC-MS/MS,,,P04004,Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B],Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,2.821019980163965,-0.0875727342634865,-0.7904811593096672,,14.681761476770944,16.062205833881254,G1_Universal
Santinha_2024_Human,Heart,Native_Tissue,15.604423443656332,,14.077113061651913,,SERPINC1,SERPINC1,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,P01008,Antithrombin-III (ATIII) (Serpin C1),Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,2.1921346735292544,-0.5084062520144702,-1.0537993188686734,,14.393209127013264,15.470477021551936,S1_Coagulation
Santinha_2024_Human,Heart,Native_Tissue,16.69517571012754,,15.435306196545936,,FGB,FGB,100.0,1.0,ECM Glycoproteins,Core matrisome,TMT-10plex LC-MS/MS,,,P02675,Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain],Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,1.7186004874136351,-0.0261817021584613,-0.4544526800754919,,14.722331538868012,15.717171456021788,G1_Universal;S1_Coagulation
Santinha_2024_Human,Heart,Native_Tissue,17.18176011915774,,16.126897572556306,,F2,F2,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,P00734,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,1.3556125572985231,0.1889385912612858,-0.1492656223729002,,14.536723067353565,15.323463359509038,G1_Universal
Santinha_2024_Human,Heart,Native_Tissue,15.681447558340103,,14.794892812703164,,FGA,FGA,100.0,1.0,ECM Glycoproteins,Core matrisome,TMT-10plex LC-MS/MS,,,P02671,Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain],Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,1.0576046349617312,-0.474353680983282,-0.7370557938618693,,14.563215048446349,15.314415592226853,S1_Coagulation
Santinha_2024_Human,Heart,Native_Tissue,14.225784961649929,,14.998134193160572,,CLEC14A,CLEC14A,100.0,1.0,ECM-affiliated Proteins,Matrisome-associated,TMT-10plex LC-MS/MS,,,Q86T13,C-type lectin domain family 14 member A (Epidermal growth factor receptor 5) (EGFR-5),Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,-1.8796717405420131,-1.1179060823934683,-0.6473689627983782,,14.777434233955796,14.203173153420806,S4_Tissue_Specific
LiDermis_2021,Skin dermis,Skin dermis,3.126035301920897,7.730324639866775,36.2164,,CILP,CILP,1.0,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS,2.0,0.0,O75339,Cartilage intermediate layer protein 1,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,-3.983262100481183,-0.5568390813989712,6.3229883955830735,,,3.126035301920898,Supporting
LiDermis_2021,Skin dermis,Skin dermis,2.905717403381246,6.49390351751573,3.4408122571165443,9.858946634896848,F2,F2,1.0,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS,3.0,5.0,P00734,Prothrombin,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,-0.4107919419263541,-0.5834418612471481,-0.217194976922461,,3.440812257116544,2.9057174033812463,G1_Universal
LiDermis_2021,Skin dermis,Skin dermis,3.4881333998303106,10.221031517887852,3.5931180380012844,11.068027951485742,SERPINC1,SERPINC1,1.0,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS,3.0,5.0,P01008,Antithrombin-III,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,-0.3635935646025029,-0.5131167327111087,-0.1868032187793859,,3.5931180380012844,3.4881333998303115,S1_Coagulation
LiDermis_2021,Skin dermis,Skin dermis,3.797285556251783,12.90262647185889,3.9371190903200386,14.31760770333346,FGA,FGA,1.0,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS,3.0,5.0,P02671,Fibrinogen alpha chain,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,-0.3674177270575179,-0.4757874607301059,-0.1181597521801324,,3.937119090320038,3.7972855562517824,S1_Coagulation
LiDermis_2021,Skin dermis,Skin dermis,4.133158323760378,16.547070956585866,4.02003381628051,15.22373195093632,FGB,FGB,1.0,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS,3.0,5.0,P02675,Fibrinogen beta chain,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,-0.3396592394419053,-0.4352317485058401,-0.1016145870311026,,4.02003381628051,4.133158323760378,G1_Universal;S1_Coagulation
LiDermis_2021,Skin dermis,Skin dermis,15.02848844116562,,2.5360198937547302,4.79986730707427,LRG1,LRG1,1.0,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS,0.0,1.0,P02750,Leucine-rich alpha-2-glycoprotein,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,1.018794779725773,0.880349374987762,-0.3977411815199296,,2.53601989375473,,G1_Universal
LiDermis_2021,Skin dermis,Skin dermis,3.975537325562252,14.730987424390868,3.689887493137606,11.90526170677696,VTN,VTN,1.0,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS,3.0,5.0,P04004,Vitronectin,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,-0.3207270795210353,-0.4542640502040156,-0.1674934206938761,,3.689887493137606,3.975537325562252,G1_Universal
LiDermis_2021,Skin dermis,Skin dermis,3.706312344662914,12.053025578304892,3.0359513878472075,7.20186153363899,TIMP3,TIMP3,1.0,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS,3.0,2.0,P35625,Metalloproteinase inhibitor 3,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,-0.2785105960416357,-0.4867722256358258,-0.2979826761742732,,3.0359513878472075,3.7063123446629143,S3_TIMP3
LiDermis_2021,Skin dermis,Skin dermis,3.3367667425164416,9.10338442965501,3.700910358791671,12.00424159393572,PCOLCE,PCOLCE,1.0,Gene_Symbol_or_UniProt,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS,2.0,5.0,Q15113,Procollagen C-endopeptidase enhancer 1,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,-0.3920325153476731,-0.531393839961887,-0.1652938701249094,,3.7009103587916714,3.3367667425164407,G2_Quality_Paradigm
,,,13.708904071852292,,13.415970668554046,,FGA,FGA,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WUA0,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.1018424014265916,0.1613578527574468,0.1200508654869766,,13.415970668554047,13.708904071852292,S1_Coagulation
,,,13.746897658072076,,14.119713234096556,,FGA,FGA,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,A0A087WUA0,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Tubulointerstitial,Tubulointerstitial,-0.5224234902025191,0.0556149012322369,0.2688088734592894,,14.119713234096556,13.746897658072076,S1_Coagulation
,,,10.28480567666785,,8.595729926420395,,F2,F2,100.0,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,E9PIT3,Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,1.4353041167660954,-0.9840223797445954,-1.4200102491814397,,8.595729926420395,10.28480567666785,G1_Universal
,,,10.21101632023214,,10.872141973514948,,F2,F2,100.0,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,E9PIT3,Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Tubulointerstitial,Tubulointerstitial,-0.7512171224286393,-1.1883239870407856,-0.8004812644266759,,10.872141973514948,10.21101632023214,G1_Universal
,,,15.047196625340968,,14.308941277230703,,SERPINC1,SERPINC1,100.0,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,P01008,Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.527171355673233,0.6090242627608438,0.4053539000312575,,14.308941277230703,15.047196625340968,S1_Coagulation
,,,13.9495416429616,,14.35048736717562,,SERPINC1,SERPINC1,100.0,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,P01008,Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Tubulointerstitial,Tubulointerstitial,-0.5447466737712195,0.1269059625529439,0.3447931967521473,,14.35048736717562,13.9495416429616,S1_Coagulation
,,,15.98385104766181,,13.591541391349956,,FGA,FGA,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,P02671,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,2.1069659231102937,0.9223404517817856,0.1761455000741535,,13.591541391349956,15.98385104766181,S1_Coagulation
,,,16.430446698896844,,14.30441111097284,,FGA,FGA,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,P02671,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Tubulointerstitial,Tubulointerstitial,1.460584664174192,0.9996994706847238,0.3296222020625597,,14.30441111097284,16.430446698896844,S1_Coagulation
,,,18.38457918080788,,16.655187347498046,,FGB,FGB,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,P02675,Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,1.4738101855731935,1.725397557612683,1.1549766951497606,,16.655187347498046,18.38457918080788,G1_Universal;S1_Coagulation
,,,17.781701275070617,,15.628346501940788,,FGB,FGB,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,P02675,Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Tubulointerstitial,Tubulointerstitial,1.4822642935237351,1.475076881479364,0.7655390590514635,,15.628346501940788,17.781701275070617,G1_Universal;S1_Coagulation
,,,6.797748560676453,,5.468170812874772,,LRG1,LRG1,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,P02750,Leucine-rich alpha-2-glycoprotein OS=Homo sapiens GN=LRG1 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,1.0919459885279688,-2.150462659579774,-2.4192616211090545,,5.468170812874772,6.797748560676454,G1_Universal
,,,10.859858279290084,,9.282566287374268,,LRG1,LRG1,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,P02750,Leucine-rich alpha-2-glycoprotein OS=Homo sapiens GN=LRG1 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Tubulointerstitial,Tubulointerstitial,1.025119342651477,-0.9600584803401292,-1.3238624216762147,,9.282566287374268,10.859858279290084,G1_Universal
,,,16.635288066885384,,15.834330683416985,,VTN,VTN,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,P04004,Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.5870583462846405,1.1402498102243144,0.8927139790954376,,15.834330683416985,16.635288066885384,G1_Universal
,,,15.228877244769263,,13.67769507107341,,VTN,VTN,100.0,exact_gene,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (Progenesis + Mascot),,,P04004,Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1,Homo sapiens,Randles_2021,Kidney_Tubulointerstitial,Tubulointerstitial,1.0043994281617863,0.5769819561135531,0.1232706775083637,,13.67769507107341,15.228877244769263,G1_Universal
,,,15.725675516496214,,12.994964249314403,,TIMP3,TIMP3,100.0,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,P35625,Metalloproteinase inhibitor 3 OS=Homo sapiens GN=TIMP3 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,2.4301747946772556,0.8359792799390996,-0.0144601786667563,,12.994964249314403,15.725675516496214,S3_TIMP3
,,,16.538180788993873,,14.142939545501598,,TIMP3,TIMP3,100.0,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,P35625,Metalloproteinase inhibitor 3 OS=Homo sapiens GN=TIMP3 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Tubulointerstitial,Tubulointerstitial,1.6742176399584254,1.037600806012417,0.2764563317387519,,14.142939545501598,16.538180788993873,S3_TIMP3
,,,18.02902508015273,,14.118475061164922,,FCN2,FCN2,100.0,exact_gene,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,Q15485,Ficolin-2 OS=Homo sapiens GN=FCN2 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,3.557043991965834,1.60646270485022,0.3445001732750495,,14.118475061164922,18.02902508015273,G1_Universal
,,,15.522678932458057,,13.308226573792483,,FCN2,FCN2,100.0,exact_gene,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,Q15485,Ficolin-2 OS=Homo sapiens GN=FCN2 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Tubulointerstitial,Tubulointerstitial,1.5307493782210837,0.6803427054817993,0.0016200688836002,,13.308226573792483,15.522678932458057,G1_Universal
Ouni_2022,Ovary,Cortex,12.489615754981251,,12.196836103735588,,F2,F2,100.0,1,ECM Regulators,Matrisome-associated,DC-MaP + TMTpro 16-plex,,,P00734,Prothrombin,Homo sapiens,Ouni_2022,Ovary_Cortex,Cortex,0.5838310071824762,-1.134062967756238,-1.1679074515976315,,7.326992672442576,7.672783613897437,G1_Universal
Ouni_2022,Ovary,Cortex,10.8260213398247,,10.968110775873775,,FGA,FGA,100.0,1,ECM Glycoproteins,Core matrisome,DC-MaP + TMTpro 16-plex,,,P02671,Fibrinogen alpha chain,Homo sapiens,Ouni_2022,Ovary_Cortex,Cortex,-0.6260514058273221,-1.346206940721928,-1.3255525599913407,,7.446631193630258,7.471165778603369,S1_Coagulation
Ouni_2022,Ovary,Cortex,11.461388212015418,,11.631802326127351,,FGB,FGB,100.0,1,ECM Glycoproteins,Core matrisome,DC-MaP + TMTpro 16-plex,,,P02675,Fibrinogen beta chain,Homo sapiens,Ouni_2022,Ovary_Cortex,Cortex,-0.704855650239366,-1.2651840355418584,-1.240401123777534,,7.4556998341486445,7.432024023990783,G1_Universal;S1_Coagulation
Ouni_2022,Ovary,Cortex,10.33155889722907,,10.946673258164024,,SERPINC1,SERPINC1,100.0,1,ECM Regulators,Matrisome-associated,DC-MaP + TMTpro 16-plex,,,P01008,Antithrombin-III,Homo sapiens,Ouni_2022,Ovary_Cortex,Cortex,-1.9420900810408868,-1.409261508649583,-1.3283029873866372,,7.914516687984697,7.468529014003495,S1_Coagulation
Ouni_2022,Ovary,Cortex,11.515029608108284,,10.642162406759011,,VTN,VTN,100.0,1,ECM Glycoproteins,Core matrisome,DC-MaP + TMTpro 16-plex,,,P04004,Vitronectin,Homo sapiens,Ouni_2022,Ovary_Cortex,Cortex,2.1977367672868007,-1.258343606901987,-1.367371642592386,,7.1187888378769255,7.953800678472035,G1_Universal
