Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,Balance_Difference
TKFC,Triokinase/FMN cyclase OS=Homo sapiens GN=TKFC PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1403961263433765,0.5281661408914684,0.1403961263433765,0.7469397196349735,1,0.5,,,0.2381107317362056,0
RPS24,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0763937295615226,0.2183704325904995,0.0763937295615226,0.3088224273907641,0,0.0,,,0.2071311609061087,0
CYP4A22,Cytochrome P450 4A22 OS=Homo sapiens GN=CYP4A22 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3524139027048845,0.405681313241071,0.3524139027048845,0.5737200151868505,1,0.5,,,0.2258622489711659,0
SPTBN1,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=1",Unknown,Unknown,2,3,0.6666666666666666,UP,2,1,0.0492396211674278,0.0951795213615386,0.0600364672232132,0.1131380918868026,0,0.0,0.7538179598499781,0.5296203233091774,0.3388880051213772,1
MRPS34,"28S ribosomal protein S34, mitochondrial OS=Homo sapiens GN=MRPS34 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1917774349342659,0.3216672965223578,-0.1917774349342659,0.4549062533138063,1,0.5,,,0.2174608472992946,0
DDC,Aromatic-L-amino-acid decarboxylase OS=Homo sapiens GN=DDC PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0305847691686548,0.3436378263441342,0.0305847691686548,0.485977274560285,0,0.0,,,0.2196579002814722,0
TEX2,Testis-expressed sequence 2 protein OS=Homo sapiens GN=TEX2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0850286389705391,0.3438136383362898,0.0850286389705391,0.4862259102640194,0,0.0,,,0.2196754814806878,0
LENG9,Leukocyte receptor cluster member 9 OS=Homo sapiens GN=LENG9 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0133527102859166,0.0349867680894912,-0.0133527102859166,0.0494787619357606,0,0.0,,,0.1887927944560079,0
CLTC,Clathrin heavy chain OS=Homo sapiens GN=CLTC PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1492867524128758,0.1709958899374494,-0.1492867524128758,0.241824706659598,0,0.0,,,0.2023937066408037,0
KCP,Kielin/chordin-like protein OS=Homo sapiens GN=KCP PE=1 SV=1,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,-0.0079371048387133,0.2568202099130221,-0.0079371048387133,0.363198623950501,0,0.0,,,0.210976138638361,0
GPR179,Probable G-protein-coupled receptor 179 OS=Homo sapiens GN=GPR179 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0280870104418299,0.2426480044397795,0.0280870104418299,0.3431560987615031,0,0.0,,,0.2095589180910367,0
CHMP2B,Charged multivesicular body protein 2b (Fragment) OS=Homo sapiens GN=CHMP2B PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0294204769162517,0.0765725339332062,-0.0294204769162517,0.1082899159936142,0,0.0,,,0.1929513710403794,0
KIF1B,Kinesin-like protein OS=Homo sapiens GN=KIF1B PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0058832550212463,0.0403613643372521,-0.0058832550212463,0.0570795888416236,0,0.0,,,0.189330254080784,0
DCAF7,DDB1- and CUL4-associated factor 7 (Fragment) OS=Homo sapiens GN=DCAF7 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1335704229665327,0.3598281408297602,0.1335704229665327,0.5088738368849429,0,0.0,,,0.2212769317300348,0
THOC1,THO complex subunit 1 OS=Homo sapiens GN=THOC1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0243605632948451,0.0334851218234097,-0.0243605632948451,0.0473551134203813,0,0.0,,,0.1886426298293998,0
TSPAN10,Tetraspanin OS=Homo sapiens GN=TSPAN10 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.8768441477217154,1.0168652675467325,0.8768441477217154,1.4380646524707348,1,0.5,,,0.2869806444017321,0
CFAP99,Cilia- and flagella-associated protein 99 OS=Homo sapiens GN=CFAP99 PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0927275347657487,0.1458172334890517,0.0927275347657487,0.2062167092279412,0,0.0,,,0.199875840995964,0
CDH4,Cadherin-4 OS=Homo sapiens GN=CDH4 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0567920764258849,0.2745699979444438,0.0567920764258849,0.3883006149137852,0,0.0,,,0.2127511174415032,0
MECP2,Methyl-CpG-binding protein 2 OS=Homo sapiens GN=MECP2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2042025386962526,0.2115914897267566,-0.2042025386962526,0.2992355544543066,0,0.0,,,0.2064532666197345,0
GSTA3,Glutathione S-transferase OS=Homo sapiens GN=GSTA3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0239009849931443,0.1091493109395035,0.0239009849931443,0.1543604358543238,0,0.0,,,0.1962090487410092,0
HNF4A,Hepatocyte nuclear factor 4-alpha OS=Homo sapiens GN=HNF4A PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0696694853348163,0.1507925440825065,-0.0696694853348163,0.2132528609462236,0,0.0,,,0.2003733720553095,0
MYO5A,Unconventional myosin-Va OS=Homo sapiens GN=MYO5A PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.3871459016244655,0.5074314275864987,-0.3871459016244655,0.7176164068671675,1,0.5,,,0.2360372604057087,0
AP2M1,AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=1,Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.1240721894031036,0.1848938182852977,-0.1839557937622041,0.1688443742619911,0,0.0,-1.4696632913642045,0.2379932920601084,0.4311848410635669,2
MYO15A,Unconventional myosin-XV OS=Homo sapiens GN=MYO15A PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0726496792464181,0.0758493949369411,-0.0726496792464181,0.1072672430176152,0,0.0,,,0.1928790571407529,0
IGHG1,Ig gamma-1 chain C region OS=Homo sapiens GN=IGHG1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0401229413877794,0.139287743024035,0.0401229413877794,0.1969826152569287,0,0.0,,,0.1992228919494623,0
PTGES3,Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0290237209764251,0.3115154484095954,-0.0290237209764251,0.440549372029586,0,0.0,,,0.2164456624880184,0
SNX9,Sorting nexin OS=Homo sapiens GN=SNX9 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0409066055038146,0.1544981213871225,-0.0409066055038146,0.2184933386268334,0,0.0,,,0.200743929785771,0
PKP1,Plakophilin-1 OS=Homo sapiens GN=PKP1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0985778017309603,0.1658720327672852,0.0985778017309603,0.2345784783578892,0,0.0,,,0.2018813209237873,0
HNRNPAB,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0015432675872375,0.1594808050728078,-0.0015432675872375,0.2255399174721447,0,0.0,,,0.2012421981543396,0
HYOU1,Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0070413246248371,0.1271178649078199,-0.0070413246248371,0.1797718085725498,0,0.0,,,0.1980059041378408,0
MYH7B,Myosin-7B OS=Homo sapiens GN=MYH7B PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0098960706595634,0.2303386524413899,0.0098960706595634,0.3257480462213563,0,0.0,,,0.2083279828911978,0
HNRNPM,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1328964872677369,0.1784526564043875,0.1328964872677369,0.2523701669285909,0,0.0,,,0.2031393832874976,0
PRAMEF15,PRAME family member 9/15 OS=Homo sapiens GN=PRAMEF15 PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.6237339065817475,0.637614699250094,0.6237339065817475,0.901723355247925,1,0.5,,,0.2490555875720682,0
GPX3,Glutathione peroxidase OS=Homo sapiens GN=GPX3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0028396397146503,0.2270418738444153,-0.0028396397146503,0.3210856972173734,0,0.0,,,0.2079983050315003,0
YBX1,Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=2,Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.1599936513558631,0.2105321661756859,-0.0427882479567651,0.319636498305954,1,0.25,-1.0010975104771558,0.3905486510152846,0.3282376040615705,0
TRIM24,Transcription intermediary factor 1-alpha OS=Homo sapiens GN=TRIM24 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0287055869110521,0.169735075120868,-0.0287055869110521,0.2400416452463476,0,0.0,,,0.2022676251591456,0
KIAA1033,WASH complex subunit 7 OS=Homo sapiens GN=KIAA1033 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0466698958848356,0.0550823088236288,-0.0466698958848356,0.0778981481851991,0,0.0,,,0.1908023485294217,0
PTRH1,Probable peptidyl-tRNA hydrolase (Fragment) OS=Homo sapiens GN=PTRH1 PE=1 SV=1,Unknown,Unknown,2,4,0.75,UP,3,1,0.1005708590480696,0.150836593410041,0.0440209769919558,0.2230123104887299,0,0.0,0.9019310084512316,0.4335717469005619,0.3886634276079505,2
4,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=2,Unknown,Unknown,2,12,0.5833333333333334,UP,7,5,0.1254022340588565,0.2367264259839832,0.06211605110843,0.3158373988767365,2,0.1666666666666666,1.3754105216485322,0.1963662136156709,0.3946935175223229,2
RTFDC1,Protein RTF2 homolog OS=Homo sapiens GN=RTFDC1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0576676914249653,0.1766076981797513,-0.0576676914249653,0.2497610019852985,0,0.0,,,0.2029548874650339,0
WDR18,WD repeat-containing protein 18 (Fragment) OS=Homo sapiens GN=WDR18 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0754611968684293,0.2157611942393816,0.0754611968684293,0.3051324071271492,0,0.0,,,0.206870237070997,0
UBE2D2,Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens GN=UBE2D2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1187181510753801,0.1242627856972049,-0.1187181510753801,0.1757341168312487,0,0.0,,,0.1977203962167793,0
SETD1B,Histone-lysine N-methyltransferase OS=Homo sapiens GN=SETD1B PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.073791041091011,0.3181367351137998,-0.073791041091011,0.4499132854870326,0,0.0,,,0.2171077911584388,0
SYNE2,Nesprin-2 OS=Homo sapiens GN=SYNE2 PE=1 SV=1,Unknown,Unknown,2,6,0.5,DOWN,3,3,0.223790035427329,0.5307079650048621,0.0572876880562827,0.6260258724670352,2,0.3333333333333333,0.8756369671369958,0.4212937942055477,0.3541061553064355,0
PLCG2,Phosphoinositide phospholipase C OS=Homo sapiens GN=PLCG2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0031859722852076,0.152773001888592,0.0031859722852076,0.2160536512352973,0,0.0,,,0.200571417835918,0
PAX2,Paired box protein Pax-2 OS=Homo sapiens GN=PAX2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0494278555757474,0.1675794084052714,0.0494278555757474,0.2369930721411946,0,0.0,,,0.2020520584875859,0
MYO6,Unconventional myosin-VI OS=Homo sapiens GN=MYO6 PE=1 SV=1,Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.2296203813444893,0.2494708665419731,-0.2034428576173718,0.293062977968317,1,0.25,-1.5670377946498144,0.2150945982660847,0.4422222846480391,2
BCAS1,Breast carcinoma-amplified sequence 1 OS=Homo sapiens GN=BCAS1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0013575657791371,0.0674265196563887,0.0013575657791371,0.0953554985616809,0,0.0,,,0.1920367696126977,0
SFXN3,Sideroflexin OS=Homo sapiens GN=SFXN3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1309091851040839,0.3008031963336062,0.1309091851040839,0.4253999598601628,0,0.0,,,0.2153744372804194,0
PLS3,Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2900712378102173,0.5500231600090979,-0.2900712378102173,0.7778502125041732,1,0.5,,,0.2402964336479686,0
IARS,"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0064116897216845,0.1545648689231893,-0.0064116897216845,0.218587733897594,0,0.0,,,0.2007506045393777,0
TK2,"Thymidine kinase 2, mitochondrial OS=Homo sapiens GN=TK2 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1472647045954761,0.4156107210445109,0.1472647045954761,0.5877623183688084,1,0.5,,,0.2268551897515099,0
ABCA13,ATP-binding cassette sub-family A member 13 OS=Homo sapiens GN=ABCA13 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1138876531434761,0.1232653135519482,0.1138876531434761,0.1743234781953372,0,0.0,,,0.1976206490022536,0
ATP1A3,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens GN=ATP1A3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0266476111110799,0.1470117597648325,-0.0266476111110799,0.2079060244877614,0,0.0,,,0.199995293623542,0
LMO7,LIM domain only protein 7 OS=Homo sapiens GN=LMO7 PE=1 SV=1,Unknown,Unknown,2,4,0.75,UP,3,1,-0.1081014871535611,0.2816808765425033,0.0811130262037229,0.4505566438286459,1,0.25,-0.4798574768977278,0.6641420886050803,0.355633787580293,2
ILK,Integrin-linked protein kinase OS=Homo sapiens GN=ILK PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0702292410465328,0.3467182071841574,-0.0702292410465328,0.4903335909215202,0,0.0,,,0.2199659383654745,0
TRPV5,Transient receptor potential cation channel subfamily V member 5 OS=Homo sapiens GN=TRPV5 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1297716553271234,0.2036320746885334,0.1297716553271234,0.287979241758695,0,0.0,,,0.2056573251159121,0
RPL17-C18orf32,Protein RPL17-C18orf32 OS=Homo sapiens GN=RPL17-C18orf32 PE=3 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0804615845656183,0.3438860381350987,-0.0804615845656183,0.486328299041408,0,0.0,,,0.2196827214605687,0
ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial OS=Homo sapiens GN=ACSS3 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.5008683648748284,0.6176748690809171,0.5008683648748284,0.8735241769912588,1,0.5,,,0.2470616045551505,0
TKT,Transketolase OS=Homo sapiens GN=TKT PE=1 SV=1,Unknown,Unknown,2,4,0.75,UP,3,1,0.3177206172206388,0.4780690431117701,0.2056196629405645,0.6309142792413439,1,0.25,1.007175230215707,0.3880459165631955,0.4304918386455967,2
MECOM,MDS1 and EVI1 complex locus protein EVI1 OS=Homo sapiens GN=MECOM PE=1 SV=1,Unknown,Unknown,2,4,0.5,DOWN,2,2,0.1402163402080576,0.3022070403806173,0.0870682249892926,0.3822085815055428,1,0.25,0.7337163370625376,0.5162613200203735,0.3122625576810459,0
SOD2,Superoxide dismutase OS=Homo sapiens GN=SOD2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0334873230253787,0.2702842849520354,0.0334873230253787,0.3822397014754827,0,0.0,,,0.2123225461422623,0
ANKDD1A,Ankyrin repeat and death domain-containing protein 1A OS=Homo sapiens GN=ANKDD1A PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.017766638146651,0.0567895846343643,0.017766638146651,0.0803126007914527,0,0.0,,,0.1909730761104952,0
RPSA,40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=1,Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.0924793850583667,0.2733345253314181,-0.1176188186909565,0.3524337796903832,0,0.0,-0.5248043200604143,0.6360310907581241,0.3604213520285757,2
GGTLC2,Gamma-glutamyltransferase light chain 2 OS=Homo sapiens GN=GGTLC2 PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0772272204394654,0.2366987335497051,-0.0772272204394654,0.3347425591825286,0,0.0,,,0.2089639910020293,0
RRAS2,Ras-related protein R-Ras2 OS=Homo sapiens GN=RRAS2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.082210278994995,0.395999806653874,0.082210278994995,0.5600282972670321,0,0.0,,,0.2248940983124462,0
SFXN2,"Sideroflexin 2, isoform CRA_b OS=Homo sapiens GN=SFXN2 PE=1 SV=1",Unknown,Unknown,2,4,0.5,DOWN,2,2,0.0163705342035295,0.3358919052719345,0.1292780986933656,0.4458767195960884,1,0.25,0.0734307645322199,0.9460852393175012,0.229666260310752,0
NDUFA6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens GN=NDUFA6 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0077949942548014,0.3844645227632713,-0.0077949942548014,0.5437149423431178,0,0.0,,,0.2237405699233859,0
LAMTOR5,Hepatitis B virus x interacting protein OS=Homo sapiens GN=LAMTOR5 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1801748171030768,0.3176412660444564,-0.1801748171030768,0.4492125864094308,0,0.0,,,0.2170582442515045,0
SRSF4,Serine/arginine-rich-splicing factor 4 (Fragment) OS=Homo sapiens GN=SRSF4 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1164313440156048,0.2835175710657453,-0.1164313440156048,0.4009543941722548,0,0.0,,,0.2136458747536333,0
SPTAN1,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=1",Unknown,Unknown,2,6,0.6666666666666666,DOWN,2,4,0.1765690965869725,0.3877849942159598,-0.0760791747659875,0.536320854419719,2,0.3333333333333333,0.8064280689779187,0.4566230713153671,0.3827480028055814,2
DNM1,Dynamin-1 OS=Homo sapiens GN=DNM1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1548284069410076,0.2444972084170788,-0.1548284069410076,0.3457712681057941,0,0.0,,,0.2097438384887667,0
MYO18A,Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0343817669343302,0.2128318867941971,0.0343817669343302,0.3009897408098088,0,0.0,,,0.2065773063264785,0
HLA-DRA,"HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens GN=HLA-DRA PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0829285993016247,0.2244555691918665,-0.0829285993016247,0.3174281101013102,0,0.0,,,0.2077396745662454,0
DIAPH1,Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0024509715811725,0.1839917453563326,-0.0024509715811725,0.2602036216476225,0,0.0,,,0.203693292182692,0
MOG,Myelin-oligodendrocyte glycoprotein (Fragment) OS=Homo sapiens GN=MOG PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0636224576617175,0.2008123992978654,0.0636224576617175,0.2839916185797226,0,0.0,,,0.2053753575768453,0
C4B_2,Complement C4-B OS=Homo sapiens GN=C4B_2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0244136768584709,0.0559430990087062,-0.0244136768584709,0.0791154893392932,0,0.0,,,0.1908884275479294,0
PUF60,Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens GN=PUF60 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2302537932510333,0.3489084580049916,0.2302537932510333,0.4934310733373426,1,0.5,,,0.220184963447558,0
DNAJB6,DnaJ homolog subfamily B member 6 OS=Homo sapiens GN=DNAJB6 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1345985608204715,0.3916674849815362,0.1345985608204715,0.5539014692014491,1,0.5,,,0.2244608661452124,0
PSAP,Prosaposin (Fragment) OS=Homo sapiens GN=PSAP PE=1 SV=1,Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.0589464239638747,0.4174429734052414,-0.2102880153718268,0.5510958234693007,2,0.5,-0.2139244082555034,0.8443206704000429,0.3331742809075743,2
VWA8,von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0114499233559888,0.364832211482019,-0.0114499233559888,0.5159506614684405,0,0.0,,,0.2217773387952607,0
GTPBP10,GTP-binding protein 10 OS=Homo sapiens GN=GTPBP10 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.186895965987735,0.3525752201548745,0.186895965987735,0.4986166580997033,1,0.5,,,0.2205516396625463,0
MRPS16,"28S ribosomal protein S16, mitochondrial OS=Homo sapiens GN=MRPS16 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1082323884589658,0.3657644014334862,0.1082323884589658,0.5172689771405133,0,0.0,,,0.2218705577904074,0
ASPDH,Putative L-aspartate dehydrogenase OS=Homo sapiens GN=ASPDH PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1757205985230273,0.1974332856151264,0.1757205985230273,0.2792128301807927,0,0.0,,,0.2050374462085714,0
C17orf96,Uncharacterized protein C17orf96 OS=Homo sapiens GN=C17orf96 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.104571145136206,0.1509520954785277,-0.104571145136206,0.2134785006943722,0,0.0,,,0.2003893271949116,0
CD81,Tetraspanin OS=Homo sapiens GN=CD81 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1518602690935807,0.2521190051573861,0.1518602690935807,0.3565501164255878,0,0.0,,,0.2105060181627974,0
FAM127A,Protein FAM127A OS=Homo sapiens GN=FAM127A PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0100838852185228,0.2345535215674084,0.0100838852185228,0.3317087713029992,0,0.0,,,0.2087494698037997,0
FMR1,Fragile X mental retardation protein 1 OS=Homo sapiens GN=FMR1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1447225256764701,0.4852738225911048,0.1447225256764701,0.6862808213729756,1,0.5,,,0.2338214999061693,0
PDZK1P1,Putative PDZ domain-containing protein PDZK1P1 OS=Homo sapiens GN=PDZK1P1 PE=5 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0211810717155026,0.107236993668161,-0.0211810717155026,0.1516560108336311,0,0.0,,,0.1960178170138749,0
ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring OS=Homo sapiens GN=ALDH3A1 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0702500059553924,0.4155218950565114,-0.0702500059553924,0.5876366994518885,0,0.0,,,0.2268463071527099,0
MYO1G,Unconventional myosin-Ig OS=Homo sapiens GN=MYO1G PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1035005716720143,0.1339097762796384,-0.1035005716720143,0.1893770217490117,0,0.0,,,0.1986850952750226,0
APOC3,Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0379249682244871,0.1618624569933934,0.0379249682244871,0.2289080819190888,0,0.0,,,0.2014803633463981,0
CACNA1S,Voltage-dependent L-type calcium channel subunit alpha-1S OS=Homo sapiens GN=CACNA1S PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3557199846271724,0.4464981492685207,0.3557199846271724,0.6314437382700286,1,0.5,,,0.2299439325739109,0
GUK1,Guanylate kinase (Fragment) OS=Homo sapiens GN=GUK1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0975000013878348,0.0981338302679473,-0.0975000013878348,0.1387821936925505,0,0.0,,,0.1951075006738535,0
MYH11,Myosin heavy chain 11 smooth muscle isoform OS=Homo sapiens GN=MYH11 PE=1 SV=1,Unknown,Unknown,2,4,0.5,DOWN,2,2,0.1160402278083111,0.1913560109821509,0.0381482910108857,0.2569605030977092,0,0.0,0.9031755963225744,0.4330058738601818,0.3178285439732375,0
CTNNB1,Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0411929453471448,0.1282590745310855,0.0411929453471448,0.1813857226992827,0,0.0,,,0.1981200251001673,0
PARPBP,PCNA-interacting partner OS=Homo sapiens GN=PARPBP PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1029806019106677,0.1393606346014587,-0.1029806019106677,0.1970856995143041,0,0.0,,,0.1992301811072047,0
UGT1A6,UDP-glucuronosyltransferase OS=Homo sapiens GN=UGT1A6 PE=3 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.239394995183232,0.2697061256397292,0.239394995183232,0.381422060734807,1,0.5,,,0.2122647302110317,0
TSPAN9,Tetraspanin OS=Homo sapiens GN=TSPAN9 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0778196281638059,0.1658302043216645,0.0778196281638059,0.2345193240027994,0,0.0,,,0.2018771380792252,0
HNRNPLL,Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens GN=HNRNPLL PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1320033742581259,0.239708159988278,0.1320033742581259,0.3389985308669224,0,0.0,,,0.2092649336458866,0
GLS,"Glutaminase kidney isoform, mitochondrial OS=Homo sapiens GN=GLS PE=1 SV=1",Unknown,Unknown,2,6,0.5,DOWN,3,3,-0.0089881392492885,0.125423110653126,0.0015495102124725,0.1756780294838167,0,0.0,-0.1253221871996647,0.90515146322332,0.2168061360677074,0
SMAD2,Mothers against decapentaplegic homolog OS=Homo sapiens GN=SMAD2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0907001669557827,0.1735169597448977,0.0907001669557827,0.2453900377729807,0,0.0,,,0.2026458136215486,0
