Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence
H0YA96,Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens GN=HNRNPD PE=1 SV=1,HNRNPD,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,10960.436167516527,33483.28287948986,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YAB8,Transforming growth factor-beta-induced protein ig-h3 (Fragment) OS=Homo sapiens GN=TGFBI PE=1 SV=1,TGFBI,Kidney_Glomerular,Glomerular,Homo sapiens,104479.93771605555,91527.37330819317,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,TGFBI,ECM Glycoproteins,Core matrisome,exact_gene,100
H0YAB8,Transforming growth factor-beta-induced protein ig-h3 (Fragment) OS=Homo sapiens GN=TGFBI PE=1 SV=1,TGFBI,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,45020.97848625793,70219.94429750803,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,TGFBI,ECM Glycoproteins,Core matrisome,exact_gene,100
H0YAM7,Guanine nucleotide-binding protein subunit beta-2-like 1 (Fragment) OS=Homo sapiens GN=GNB2L1 PE=1 SV=1,GNB2L1,Kidney_Glomerular,Glomerular,Homo sapiens,1356.3618907438492,1069.7918409938054,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YAM7,Guanine nucleotide-binding protein subunit beta-2-like 1 (Fragment) OS=Homo sapiens GN=GNB2L1 PE=1 SV=1,GNB2L1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1371.3350479491085,1432.458635525778,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YAS8,Clusterin (Fragment) OS=Homo sapiens GN=CLU PE=1 SV=1,CLU,Kidney_Glomerular,Glomerular,Homo sapiens,18464.649934483867,12719.045332915346,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YAS8,Clusterin (Fragment) OS=Homo sapiens GN=CLU PE=1 SV=1,CLU,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,10419.68165573338,13016.679877019234,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YB11,"UPF0317 protein C14orf159, mitochondrial (Fragment) OS=Homo sapiens GN=C14orf159 PE=1 SV=1",C14orf159,Kidney_Glomerular,Glomerular,Homo sapiens,3359.401006224673,2977.284787075827,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YB11,"UPF0317 protein C14orf159, mitochondrial (Fragment) OS=Homo sapiens GN=C14orf159 PE=1 SV=1",C14orf159,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,6795.89993797967,2757.05396401709,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YB25,Glutamate-rich protein 1 (Fragment) OS=Homo sapiens GN=ERICH1 PE=1 SV=1,ERICH1,Kidney_Glomerular,Glomerular,Homo sapiens,511.80669120121,174.43220039581823,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YB25,Glutamate-rich protein 1 (Fragment) OS=Homo sapiens GN=ERICH1 PE=1 SV=1,ERICH1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,276.812624069358,352.859746988609,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YBF2,Matrilin-2 (Fragment) OS=Homo sapiens GN=MATN2 PE=1 SV=1,MATN2,Kidney_Glomerular,Glomerular,Homo sapiens,16473.9543519452,15089.63786233904,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,MATN2,ECM Glycoproteins,Core matrisome,exact_gene,100
H0YBF2,Matrilin-2 (Fragment) OS=Homo sapiens GN=MATN2 PE=1 SV=1,MATN2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,14233.795079924135,19627.2274672618,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,MATN2,ECM Glycoproteins,Core matrisome,exact_gene,100
H0YBG6,"Stress-70 protein, mitochondrial (Fragment) OS=Homo sapiens GN=HSPA9 PE=1 SV=1",HSPA9,Kidney_Glomerular,Glomerular,Homo sapiens,5032.13228482691,8249.599131022893,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YBG6,"Stress-70 protein, mitochondrial (Fragment) OS=Homo sapiens GN=HSPA9 PE=1 SV=1",HSPA9,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,468.38237914535034,1114.8926498642327,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YBV6,Protein MAK16 homolog (Fragment) OS=Homo sapiens GN=MAK16 PE=1 SV=1,MAK16,Kidney_Glomerular,Glomerular,Homo sapiens,34.176800244419496,106.2262854772096,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YBV6,Protein MAK16 homolog (Fragment) OS=Homo sapiens GN=MAK16 PE=1 SV=1,MAK16,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,635.0600558960112,1126.5045908489778,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YBX6,Ubiquitin-conjugating enzyme E2 variant 2 (Fragment) OS=Homo sapiens GN=UBE2V2 PE=1 SV=1,UBE2V2,Kidney_Glomerular,Glomerular,Homo sapiens,13557.3703718614,15569.698971320533,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YBX6,Ubiquitin-conjugating enzyme E2 variant 2 (Fragment) OS=Homo sapiens GN=UBE2V2 PE=1 SV=1,UBE2V2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,10525.435080514617,13541.847897324944,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YBZ2,HLA class II histocompatibility antigen gamma chain (Fragment) OS=Homo sapiens GN=CD74 PE=1 SV=1,CD74,Kidney_Glomerular,Glomerular,Homo sapiens,127599.91033823357,138304.19269138892,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YBZ2,HLA class II histocompatibility antigen gamma chain (Fragment) OS=Homo sapiens GN=CD74 PE=1 SV=1,CD74,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,545103.5503229414,553824.9658377729,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YC04,"V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens GN=ATP6V1B2 PE=1 SV=1",ATP6V1B2,Kidney_Glomerular,Glomerular,Homo sapiens,5483.362318463646,3815.906628877577,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YC04,"V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens GN=ATP6V1B2 PE=1 SV=1",ATP6V1B2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,6240.393243638243,5031.630598933417,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YCW8,Alpha-crystallin B chain (Fragment) OS=Homo sapiens GN=CRYAB PE=1 SV=1,CRYAB,Kidney_Glomerular,Glomerular,Homo sapiens,741670.3844804227,437048.7931873183,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YCW8,Alpha-crystallin B chain (Fragment) OS=Homo sapiens GN=CRYAB PE=1 SV=1,CRYAB,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,665870.077577077,444745.128770452,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YCY8,Dipeptidyl peptidase 1 (Fragment) OS=Homo sapiens GN=CTSC PE=1 SV=6,CTSC,Kidney_Glomerular,Glomerular,Homo sapiens,14208.846995877431,7110.042126574896,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,CTSC,ECM Regulators,Matrisome-associated,exact_gene,100
H0YCY8,Dipeptidyl peptidase 1 (Fragment) OS=Homo sapiens GN=CTSC PE=1 SV=6,CTSC,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,28021.02434470007,40240.65290156504,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,CTSC,ECM Regulators,Matrisome-associated,exact_gene,100
H0YD14,Myoferlin (Fragment) OS=Homo sapiens GN=MYOF PE=1 SV=1,MYOF,Kidney_Glomerular,Glomerular,Homo sapiens,2661.43633537675,8001.568580857866,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YD14,Myoferlin (Fragment) OS=Homo sapiens GN=MYOF PE=1 SV=1,MYOF,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1033.5376955705924,2175.7018374669246,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YD21,ATP synthase mitochondrial F1 complex assembly factor 1 (Fragment) OS=Homo sapiens GN=ATPAF1 PE=1 SV=1,ATPAF1,Kidney_Glomerular,Glomerular,Homo sapiens,412.00096535283063,1130.584996267401,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YD21,ATP synthase mitochondrial F1 complex assembly factor 1 (Fragment) OS=Homo sapiens GN=ATPAF1 PE=1 SV=1,ATPAF1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1983.8747925137202,1325.6918103100722,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YDF7,PHD finger protein 20-like protein 1 (Fragment) OS=Homo sapiens GN=PHF20L1 PE=1 SV=1,PHF20L1,Kidney_Glomerular,Glomerular,Homo sapiens,4924.466670821096,3772.0472617615,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YDF7,PHD finger protein 20-like protein 1 (Fragment) OS=Homo sapiens GN=PHF20L1 PE=1 SV=1,PHF20L1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1563.66199490568,2599.54708652547,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YDM3,Protein SAAL1 (Fragment) OS=Homo sapiens GN=SAAL1 PE=1 SV=1,SAAL1,Kidney_Glomerular,Glomerular,Homo sapiens,233263.29823658802,193483.829986981,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YDM3,Protein SAAL1 (Fragment) OS=Homo sapiens GN=SAAL1 PE=1 SV=1,SAAL1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,266790.90200476535,263177.97564184066,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YDP7,"39S ribosomal protein L49, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL49 PE=1 SV=1",MRPL49,Kidney_Glomerular,Glomerular,Homo sapiens,1522.955223777798,1737.0224083988203,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YDP7,"39S ribosomal protein L49, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL49 PE=1 SV=1",MRPL49,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1871.4722639238116,4034.681637452135,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YE27,40S ribosomal protein S2 (Fragment) OS=Homo sapiens GN=RPS2 PE=1 SV=1,RPS2,Kidney_Glomerular,Glomerular,Homo sapiens,36.76750889614326,149.592674088568,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YE27,40S ribosomal protein S2 (Fragment) OS=Homo sapiens GN=RPS2 PE=1 SV=1,RPS2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,42.3857998812313,469.42157222240553,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YE28,Selenoprotein H (Fragment) OS=Homo sapiens GN=C11orf31 PE=1 SV=1,C11orf31,Kidney_Glomerular,Glomerular,Homo sapiens,38347.0181318867,73595.2365776821,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YE28,Selenoprotein H (Fragment) OS=Homo sapiens GN=C11orf31 PE=1 SV=1,C11orf31,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,73061.62334758141,73537.83052808524,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YEL7,"Acetyl-CoA acetyltransferase, mitochondrial (Fragment) OS=Homo sapiens GN=ACAT1 PE=1 SV=1",ACAT1,Kidney_Glomerular,Glomerular,Homo sapiens,497.40987114919034,902.5105966923787,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YEL7,"Acetyl-CoA acetyltransferase, mitochondrial (Fragment) OS=Homo sapiens GN=ACAT1 PE=1 SV=1",ACAT1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,765.9297604954203,1198.2166158956954,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YF29,UPF0598 protein C8orf82 (Fragment) OS=Homo sapiens GN=C8orf82 PE=1 SV=1,C8orf82,Kidney_Glomerular,Glomerular,Homo sapiens,6774.390573134134,6432.444420981,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YF29,UPF0598 protein C8orf82 (Fragment) OS=Homo sapiens GN=C8orf82 PE=1 SV=1,C8orf82,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,12735.08008487572,8958.691260712903,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YFA4,Cysteine-rich protein 2 (Fragment) OS=Homo sapiens GN=CRIP2 PE=1 SV=1,CRIP2,Kidney_Glomerular,Glomerular,Homo sapiens,6192.452991001793,11734.06414286226,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YFA4,Cysteine-rich protein 2 (Fragment) OS=Homo sapiens GN=CRIP2 PE=1 SV=1,CRIP2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,48.46780232618574,1869.6626148290586,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YFD2,Protein KRI1 homolog (Fragment) OS=Homo sapiens GN=KRI1 PE=1 SV=3,KRI1,Kidney_Glomerular,Glomerular,Homo sapiens,214144.4410345663,169825.88502379632,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YFD2,Protein KRI1 homolog (Fragment) OS=Homo sapiens GN=KRI1 PE=1 SV=3,KRI1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,110761.10106166423,132583.601481396,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YG07,Malectin (Fragment) OS=Homo sapiens GN=MLEC PE=1 SV=1,MLEC,Kidney_Glomerular,Glomerular,Homo sapiens,961.2096009632018,1221.1897738172827,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YG07,Malectin (Fragment) OS=Homo sapiens GN=MLEC PE=1 SV=1,MLEC,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1458.8778933839367,1695.9136908802882,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YGT3,Steroid hormone receptor ERR1 (Fragment) OS=Homo sapiens GN=ESRRA PE=1 SV=1,ESRRA,Kidney_Glomerular,Glomerular,Homo sapiens,93031.41211429845,75830.85389954281,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YGT3,Steroid hormone receptor ERR1 (Fragment) OS=Homo sapiens GN=ESRRA PE=1 SV=1,ESRRA,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,103312.84931878497,78278.37710500316,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YH80,Heterogeneous nuclear ribonucleoprotein A1 (Fragment) OS=Homo sapiens GN=HNRNPA1 PE=1 SV=1,HNRNPA1,Kidney_Glomerular,Glomerular,Homo sapiens,689.957997489115,1873.4808501221266,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YH80,Heterogeneous nuclear ribonucleoprotein A1 (Fragment) OS=Homo sapiens GN=HNRNPA1 PE=1 SV=1,HNRNPA1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,511.361578534586,1133.164186883166,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YH88,Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens GN=NAP1L1 PE=1 SV=1,NAP1L1,Kidney_Glomerular,Glomerular,Homo sapiens,249.6648255134103,401.0522053017037,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YH88,Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens GN=NAP1L1 PE=1 SV=1,NAP1L1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,435.875492439573,633.6871309274883,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YHD8,Cysteine-rich protein 2 (Fragment) OS=Homo sapiens GN=CRIP2 PE=1 SV=1,CRIP2,Kidney_Glomerular,Glomerular,Homo sapiens,200.75821289833166,1902.1513872933135,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YHD8,Cysteine-rich protein 2 (Fragment) OS=Homo sapiens GN=CRIP2 PE=1 SV=1,CRIP2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,20.3630091763473,0.0,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YHN7,Carboxypeptidase M (Fragment) OS=Homo sapiens GN=CPM PE=1 SV=1,CPM,Kidney_Glomerular,Glomerular,Homo sapiens,5753.020498948409,3769.956923203737,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YHN7,Carboxypeptidase M (Fragment) OS=Homo sapiens GN=CPM PE=1 SV=1,CPM,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,12863.051606171566,8422.79757673144,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YHS2,Rap guanine nucleotide exchange factor 3 (Fragment) OS=Homo sapiens GN=RAPGEF3 PE=1 SV=1,RAPGEF3,Kidney_Glomerular,Glomerular,Homo sapiens,270.47263265121734,395.22384943484866,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YHS2,Rap guanine nucleotide exchange factor 3 (Fragment) OS=Homo sapiens GN=RAPGEF3 PE=1 SV=1,RAPGEF3,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,93.53294110885055,436.09680785524364,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YI43,Myosin light polypeptide 6 (Fragment) OS=Homo sapiens GN=MYL6 PE=1 SV=1,MYL6,Kidney_Glomerular,Glomerular,Homo sapiens,8452.219038482523,8036.138878989554,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YI43,Myosin light polypeptide 6 (Fragment) OS=Homo sapiens GN=MYL6 PE=1 SV=1,MYL6,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,2044.7032861946425,7827.319134388087,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YI76,"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=1 SV=1",KRT5,Kidney_Glomerular,Glomerular,Homo sapiens,26.974849260413603,100.51720606345607,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YI76,"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=1 SV=1",KRT5,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,838.075787852794,625.7970599215147,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YIB4,Serine/arginine-rich-splicing factor 9 (Fragment) OS=Homo sapiens GN=SRSF9 PE=1 SV=6,SRSF9,Kidney_Glomerular,Glomerular,Homo sapiens,2633.5946036168148,3542.8925504243766,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YIB4,Serine/arginine-rich-splicing factor 9 (Fragment) OS=Homo sapiens GN=SRSF9 PE=1 SV=6,SRSF9,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,6260.160767082641,22420.235227254172,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YIN9,"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=1 SV=1",KRT5,Kidney_Glomerular,Glomerular,Homo sapiens,12387.955512436934,8780.55343975538,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YIN9,"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=1 SV=1",KRT5,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,27185.430409259996,14066.022562898675,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YIV0,Endoplasmin (Fragment) OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,HSP90B1,Kidney_Glomerular,Glomerular,Homo sapiens,6804.645733354337,3322.795025961573,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YIV0,Endoplasmin (Fragment) OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,HSP90B1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1772.5832020119012,3822.0443608615174,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJ10,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1,4,Kidney_Glomerular,Glomerular,Homo sapiens,2250.8126683158303,1169.640805864427,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJ10,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1,4,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,2031.2452863225033,6174.378171280173,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJ34,Fermitin family homolog 2 (Fragment) OS=Homo sapiens GN=FERMT2 PE=1 SV=1,FERMT2,Kidney_Glomerular,Glomerular,Homo sapiens,14539.018017011205,12843.528260363813,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJ34,Fermitin family homolog 2 (Fragment) OS=Homo sapiens GN=FERMT2 PE=1 SV=1,FERMT2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,13436.707165429545,10868.17189950043,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJ40,"SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment) OS=Homo sapiens GN=SLIRP PE=1 SV=1",SLIRP,Kidney_Glomerular,Glomerular,Homo sapiens,724.4203151664506,1070.4830468114458,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJ40,"SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment) OS=Homo sapiens GN=SLIRP PE=1 SV=1",SLIRP,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,2334.96564304945,1721.6343607358237,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJC6,Lymphoid-restricted membrane protein (Fragment) OS=Homo sapiens GN=LRMP PE=1 SV=1,LRMP,Kidney_Glomerular,Glomerular,Homo sapiens,8430.983868374666,5525.029281519441,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJC6,Lymphoid-restricted membrane protein (Fragment) OS=Homo sapiens GN=LRMP PE=1 SV=1,LRMP,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,16800.441737030433,30233.387823333065,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJI1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment) OS=Homo sapiens GN=SLIRP PE=1 SV=1",SLIRP,Kidney_Glomerular,Glomerular,Homo sapiens,14637.955651036324,10706.325523052263,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJI1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment) OS=Homo sapiens GN=SLIRP PE=1 SV=1",SLIRP,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,20954.037948510468,32499.850750667534,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJR8,Dehydrogenase/reductase SDR family member 7 (Fragment) OS=Homo sapiens GN=DHRS7 PE=1 SV=1,DHRS7,Kidney_Glomerular,Glomerular,Homo sapiens,180.81192090364868,529.7886676603607,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJR8,Dehydrogenase/reductase SDR family member 7 (Fragment) OS=Homo sapiens GN=DHRS7 PE=1 SV=1,DHRS7,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,2088.6049014283103,1097.8900864578427,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJV4,Solute carrier family 35 member F4 (Fragment) OS=Homo sapiens GN=SLC35F4 PE=4 SV=1,SLC35F4,Kidney_Glomerular,Glomerular,Homo sapiens,586.8184464015933,733.9459854558546,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJV4,Solute carrier family 35 member F4 (Fragment) OS=Homo sapiens GN=SLC35F4 PE=4 SV=1,SLC35F4,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,2883.0845283235635,2083.72088969195,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJW9,Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=3,1,Kidney_Glomerular,Glomerular,Homo sapiens,929.4816954719457,1295.60854683157,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YJW9,Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=3,1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,402.32145318431964,526.3894478529941,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YKD8,60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=1,RPL28,Kidney_Glomerular,Glomerular,Homo sapiens,4448.91530654045,5408.292933938107,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YKD8,60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=1,RPL28,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,8437.012352045718,51356.65261499255,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
H0YKN4,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=1,ANXA2,Kidney_Glomerular,Glomerular,Homo sapiens,3379.8353617886037,3682.4393377269066,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,ANXA2,ECM-affiliated Proteins,Matrisome-associated,exact_gene,100
